网维电脑维修（罗湖店）,罗湖区怡景路2003号怡景花园荷花村401C1楼（近环岛丽园）,13148880550,https://p0.meituan.net/440.0/joymerchant/5aaacd4b10e3449b6ebe8aa7f2e6b7e1-1760481982.jpg
美邻清洁（罗湖店）,罗湖区湖贝路锦湖大厦9楼,18476856810,https://p0.meituan.net/440.0/joymerchant/-1304664279257234219-47179397-1542182128493.jpg
鹏程开锁家电维修（罗湖店）,罗湖区立新路茂业百货一楼1A,0755-22222191/13715297058,https://vfile.meituan.net/440.0/joymerchant/-3247329515999827197-24303818-1532665871423.jpg
刘记开锁（罗湖店）,罗湖区笋岗东路2127号,18819003125,https://p0.meituan.net/440.0/dpdeal/90eee42c78a34657aa97064a413aef8453930.jpg
怡宝（蔡屋围店）,罗湖区红宝路蔡屋围南村42栋105,0755-26922222,https://p1.meituan.net/440.0/dpdeal/53aa0759f9df968c76e4cca3e05cc6f9160330.jpg
顺风搬家公司,罗湖区凤凰路160号（凤凰印象对面）,0755-83989696/18988764874,https://p1.meituan.net/440.0/joymerchant/8927613083041362578-25370617-1506319909193.jpg
狗儿的尾巴,罗湖区太宁路9号水库市场综合楼1044铺(喜荟城C入口对面),15800222154,https://p0.meituan.net/440.0/joymerchant/6172712700382002401.jpg
管家帮家政保洁服务（罗湖分店）,罗湖区宝安南路2066号（大信大厦7楼）,0755-28266713/18928409986,https://p0.meituan.net/440.0/mogu/1f4e8276baf828d88ab14f3c61ad41c3100308.jpg
彬彬有礼家政,罗湖区蔡屋围五街京基100大厦A座1101号,0755-22964983/13923764228,https://p1.meituan.net/440.0/merchantpic/810270a26e1991c7070048956e3bfe33155120.jpg
洁修哥（罗湖中心店）,罗湖区翠竹路1052-3号,400-670-8378/13424416354,https://p0.meituan.net/440.0/joymerchant/-6193029027453612330-21189378-1537945422133.jpg
轻松到家（罗湖店）,罗湖区宝安南路蔡屋围大厦1层,0755-36567055,https://p1.meituan.net/440.0/joymerchant/ff72719e0c8634bdeaba434877a8625a-91992900.jpg
退伍老兵搬家,罗湖区黄贝岭下村115号,0755-21529459/18926403660,https://p0.meituan.net/440.0/joymerchant/-6723841741305563256-25322988-1544152728114.jpg
迷你熊MiniBear宠物管家,罗湖区沿河南路3041号,18822828962/18998900835,https://p0.meituan.net/440.0/merchantpic/d0e8bd01a8c6c392d66f372938cdb5ba4706327.jpg
爱慕鲜花（和合花店）,罗湖区春风路高嘉花园6栋,0755-82192490/13760333797,https://p1.meituan.net/440.0/deal/b1b086b83fbc2b8b3aca6f1b6edf5004166236.jpg
轻喜到家（罗湖店）,罗湖区爱国路环岛丽园B栋,400-166-9366,https://p0.meituan.net/440.0/joymerchant/-7336010774116109162-27300222-1542698329369.jpg
小胜电脑维修（国贸店）,罗湖区深南东路海外联谊大楼4楼A05室,13889916959,https://img.meituan.net/440.0/ugcpic/d9890c533d182fa43c5a1347978d4982260141.png
乐宠家族精致宠物美容（罗湖店）,罗湖区宝安南路2066号大信大厦M层17号商铺（大信大厦大堂右转，直行10米（大信图文广告楼上））,13798318015,https://p1.meituan.net/440.0/joymerchant/583328055237979113-27603877-1511346339083.jpg
畅通达疏通清洁公司（罗湖店）,罗湖区翠竹路新港鸿花园8栋102,13392446567,https://p0.meituan.net/440.0/merchantpic/67eedee1bb028a72f3ffff9ebc5a98aa6794121.jpg
景田桶装水,罗湖区宝岗路笋岗新村165栋105号,0755-82601129/13714062851,https://p0.meituan.net/440.0/mogu/504c010693e0b229f74376922888f8b659853.jpg
联想3C服务中心（人民南路店）,罗湖区人民南路3005号深房广场B座2901,0755-22279842/22279847,https://p1.meituan.net/440.0/joymerchant/-437536938077022893-47576625-1543113487989.jpg
洁修哥（罗湖店）,罗湖区金湖路银龙花园4栋105,400-670-8378/13424412354,https://vfile.meituan.net/440.0/joymerchant/4817925240038321-21189378-1529544372707.jpg
大强虫控（罗湖店）,罗湖区东门北路1050号海洋大厦613室,400-031-5114,https://p0.meituan.net/440.0/joymerchant/-6490415459448463854-4357995-1541079937676.jpg
007法律互联网平台（国贸店）,罗湖区人民南路2008号深圳嘉里中心,400-718-6007,https://p0.meituan.net/440.0/joymerchant/-7892903678488059343-32327181-1540534252850.jpg
巧匠开锁（银湖店）,罗湖区清水河街道金湖路36号（南疆工业区1栋505）,13316904760,https://p1.meituan.net/440.0/merchantpic/22e68fc80479157ff8f0df59c766edbf153308.jpg
速派星电器维修服务中心（湖贝店）,罗湖区中兴路湖贝新村229号楼407室,13530209192,https://p0.meituan.net/440.0/joymerchant/3572073812223399485-25085413-1509940368999.png
樱美坊（黄贝岭店）,罗湖区深南东路1015号深发花园1栋成发阁2楼C室（黄贝岭地铁站D出口右前方20米红色大厦1栋，即三九大酒店旁）,null,https://p0.meituan.net/440.0/dpdeal/7fc09d6c120a139e0c35086e0beba1f088031.jpg
圣匠锁具商场（罗湖店）,罗湖区文锦北路与洪湖一街交叉口合正锦湖逸园裙楼M层12商铺,13418805110,https://p1.meituan.net/440.0/mogu/d8d9c806375fc510fc256695bc128d2314426.jpg
深圳市澜馨鲜花礼品有限公司,罗湖区太白路布心商务大厦406室（布心、彩世界、东晓）,0755-22900658/13691846986,https://p1.meituan.net/440.0/deal/ac31530d7c8c5252fc8867167e982a3770591.jpg
的嫂家政服务部,罗湖区黄贝路景贝南36栋101,0755-25165310,https://p0.meituan.net/440.0/merchantpic/7f9557e95094a31b6a4da251e55bded84597565.jpg
鼎森便民服务中心（罗湖店）,罗湖区深南东路银都大厦向南500米,18475522922,https://p0.meituan.net/440.0/merchantpic/6ccfacc0908e07aaf42e6457c300a3eb542321.jpg
快洗到家家电清洗（罗湖店）,罗湖区笋岗东路同乐大厦102号,13724282393/18688823783,https://p0.meituan.net/440.0/merchantpic/d45844dbbdb8e441e0257e2315ccd4e6129222.jpg
吾爱鲜花（花昔花店）,罗湖区友谊路208号,400-052-1717,https://p1.meituan.net/440.0/deal/204a788600f7d1c011ef50610af989b178835.jpg
金石开锁换锁指纹锁服务中心（莲塘店）,罗湖区罗沙路3030号聚宝花园A5,0755-22222258/18320999972,https://p0.meituan.net/440.0/mogu/59784ad30109d1800c5942ec4c7040b7116582.jpg
易改衣etailor全国连锁（罗湖KKmall店）,罗湖区深南东路5016号京基100大厦负一层B127C（商户眼睛大师旁）,0755-22650754/400-800-5103,https://p0.meituan.net/440.0/joymerchant/7186928495563114736-3611131-1543989757136.jpg
580家政网（红桂服务站）,罗湖区松园西街25号松园大楼4楼402室,0755-96580,https://p0.meituan.net/440.0/joymerchant/-5482101463541119153.jpg
巧匠开锁（东门店）,罗湖区东门中路2085号（中国农业银行旁）,13316904760,https://p0.meituan.net/440.0/dpdeal/9f978455aedcf6a20181ad734229d212356319.jpg
爱之尚鲜花（海洋鲜花店）,罗湖区人民南路69号,15712005221,https://p1.meituan.net/440.0/deal/35d6c704142a375f92fd30bd2ac6ce21329854.jpg
海利广告·图文快印·照相冲印,"罗湖区书城路蔡屋围新九坊35-1号102（近书城,地王大厦,万象城）",0755-25898459/13430570223,https://p0.meituan.net/440.0/poi/94ac9cfc7817378cf2f6da9d425401d1129024.jpg
艺丰图文广告,罗湖区宝岗路梅园新村8栋104,13510105682,https://img.meituan.net/440.0/ugcpic/d6122ca1767c9b7f296aa59c7e4f2fe3295659.png
金鼎广告印务,罗湖区嘉宾路东佳大厦一楼103铺（金光华、彭年酒店、国贸地铁B出口）,0755-25185702/13824332270,https://vfile.meituan.net/440.0/joymerchant/-7944980552740689527-20905656-1527589862239.jpg
佳信水店,罗湖区桂圆街道红桂路与宝安南路交叉口清庆新村56栋首层,13380387165,https://p0.meituan.net/440.0/mogu/b1ed6a0372bd3fe6dfc5614bbe8e082f27732.jpg
吉明环保（罗湖店）,罗湖区和平路与建设路交叉口东50米,0755-85211306,https://p1.meituan.net/440.0/mogu/4866c6a47885960a6fc420b65f6569ba22630.png
急客通（罗湖店）,罗湖区仁心路榴花苑布心180号,13682335459,https://p1.meituan.net/440.0/mogu/156d67c9368123b5cbf933430a121d1b102858.jpg
乐帮到家（罗湖店）,罗湖区蔡屋围西街蔡屋围新九坊21号楼,17704058842,https://p1.meituan.net/440.0/dpdeal/810ae4941c9c6271f43f8781812924ed96654.jpg
益力桶装水（莲塘店）,罗湖区莲塘村7巷97号1楼,400-700-9511,https://p1.meituan.net/440.0/dpdeal/ba007fc214b15845343bdbc4966bd1c658606.png
智人电脑维修（翠竹店）,罗湖区爱国路水库新村23栋403室,18924630934,https://p1.meituan.net/440.0/joymerchant/938392337206959633-23666092-1541497353770.jpg
泛非图文广告印刷,罗湖区蔡屋围新九坊11栋3号,0755-25988078/13530859983,https://p1.meituan.net/440.0/joymerchant/-4543761335547022137-23350573-1538190482695.jpg
永成电脑,罗湖区南虹路1号,13924641206,https://p1.meituan.net/440.0/joymerchant/59970aa3f709e202f90f99f091b58a90.jpg
苹果售后维修服务中心（老街店）,罗湖区深南东路4002号鸿隆世纪广场A座7层,0755-22955270/15959268997,https://p1.meituan.net/440.0/joymerchant/2707302392192280557-46466086-1541498329905.jpg
管道疏通开锁店（罗湖店）,罗湖区深南东路4119西门湖北宝丰大厦1103号（地王大厦斜对面，）,18319433825,https://p1.meituan.net/440.0/merchantpic/4aa49259a1b50e2cc881ecc21df33b54221972.jpg
桥恩心理咨询（兆鑫汇金广场店）,罗湖区深南东路与人民南路交汇处兆鑫汇金广场20D,0755-86526362,https://p0.meituan.net/440.0/ugcpic/9604b9c54ed7cae610b39a34b36dce41801628.png
喵憩小筑猫咪寄养,罗湖区解放路龙园创展大厦1801（麦当劳旁停车场入口进去右拐到大堂）（地王大厦对面）,17820666847,https://p1.meituan.net/440.0/joymerchant/2007140229031188325-39568241-1538037013807.jpg
家电小哥（罗湖店）,罗湖区布心路东乐花园乐丰楼,400-166-5555,https://p0.meituan.net/440.0/joymerchant/-978014391563143577-21016001-1542762780420.jpg
友田达怡宝桶装水专卖（百仕达店）,罗湖区布心路88号3号铺,0755-26922222,https://p1.meituan.net/440.0/deal/41aa60a32a648d8008dcaae6b5c8629d392500.jpg
怡宝（景贝南店）,罗湖区景贝南2栋102,0755-26922222,https://p1.meituan.net/440.0/dpdeal/53aa0759f9df968c76e4cca3e05cc6f9160330.jpg
怡宝（文华花园店）,罗湖区北斗路文华花园11栋东B单元,0755-26922222,https://p1.meituan.net/440.0/dpdeal/58748075f77770971e33cbb341d3420a225833.jpg
怡宝（聚龙店）,罗湖区聚龙大厦A栋1楼,0755-26922222,https://p0.meituan.net/440.0/dpdeal/f069ee73ea9a4b81ac970b65a378bd1579672.jpg
怡宝（洪湖店）,罗湖区洪湖二街42号104,0755-26922222,https://p1.meituan.net/440.0/dpdeal/58748075f77770971e33cbb341d3420a225833.jpg
友田达怡宝桶装水专卖（东门店）,罗湖区东门南路2006号东门宝丰大厦附楼108号,0755-26922222,https://p1.meituan.net/440.0/deal/41aa60a32a648d8008dcaae6b5c8629d392500.jpg
益力桶装水（黄贝岭店）,罗湖区黄贝路华丽东村39号102黄贝派出所向北80米,400-700-9511,https://p1.meituan.net/440.0/dpdeal/ba007fc214b15845343bdbc4966bd1c658606.png
益力桶装水（水贝店）,罗湖区田贝四路愉天小区7栋119,400-700-9511,https://p1.meituan.net/440.0/dpdeal/ba007fc214b15845343bdbc4966bd1c658606.png
友田达怡宝桶装水专卖（桂圆店）,罗湖区桂圆路红裙楼4栋101铺（桂圆小学旁）,0755-26922222,https://p1.meituan.net/440.0/deal/41aa60a32a648d8008dcaae6b5c8629d392500.jpg
友田达怡宝桶装水专卖（爱国店）,罗湖区华丽东村3栋103室（近华丽环岛）,0755-26922222,https://p1.meituan.net/440.0/deal/__11427578__3771284.jpg
友田达怡宝桶装水专卖（莲塘店）,罗湖区莲塘畔山路3号莲通花园4巷28号101(近国威路),0755-26922222,https://p1.meituan.net/440.0/deal/41aa60a32a648d8008dcaae6b5c8629d392500.jpg
智人电脑维修（大剧院店）,罗湖区红桂路1038号风格名苑底层商铺,18924630934,https://p0.meituan.net/440.0/merchantpic/9c1b0368eabf8ac628cb0609bc23495627710.jpg
益力桶装水（春风店）,罗湖区春风路高嘉大厦首层8号铺,400-700-9511,https://p1.meituan.net/440.0/dpdeal/ba007fc214b15845343bdbc4966bd1c658606.png
友田达怡宝桶装水专卖（水贝店）,罗湖区田贝四路翠竹小区4栋102铺（近翠北小学）,0755-26922222,https://p1.meituan.net/440.0/deal/41aa60a32a648d8008dcaae6b5c8629d392500.jpg
益力桶装水（新秀店）,罗湖区沿河北路新秀村9栋106（旧35栋106）,400-700-9511,https://p1.meituan.net/440.0/dpdeal/4781ae14f31939f7889761ed811a9d6c36755.jpg
其他生活,南山区,全部,
中港蚂蚁搬家（南山店）,南山区海王大厦1004,0755-82670883,https://p1.meituan.net/440.0/merchantpic/78f8b84ef61b78f4e0134355828b4410164705.jpg
小哥帮（南山店）,南山区海德三道天利名城B座25楼,400-818-5088,https://p0.meituan.net/440.0/joymerchant/cb1a48a61fb18a476447b59568fdf52f--1114577907.jpg
手机维修服务中心（保利文化广场店）,南山区文心六路保利文化广场A区1层A1-22,0755-86552162/18312501250,https://p0.meituan.net/440.0/poi/e66066f62328b4e3de113a8bc62a7d13155648.jpg
福家蚂蚁搬家,南山区大新新村2号305号,13715149715,https://p0.meituan.net/440.0/mogu/83d5878dab12c15cd5cc9a425ebf7ba4646089.png
勤奋蚂蚁搬家,南山区南山大道2002号光彩新天地23A1,0755-28876336/18211427289,https://p1.meituan.net/440.0/joymerchant/9dc22375b88dc900acefb72ec434b119-952732462.jpg
诚源开锁换锁,南山区高新南十一道熙湾俊庭商店,13632836167/13723776520,https://p1.meituan.net/440.0/merchantpic/81390ecb9e16c02922ace9f11806937372645.jpg
修机吧手机维修换屏（西丽店）,南山区留仙大道新围大厦102-8号,13005422232,https://p1.meituan.net/440.0/joymerchant/-817502101820097634-43508653-1545494294105.jpg
管道疏通居家维修服务部,南山区西丽同沙路九祥岭东区1号楼7号商铺,13537623390,https://img.meituan.net/440.0/ugcpic/bf81f0f4636eabd7b35ac1bfbb498267270653.png
蚂蚁搬家有限公司（南山店）,南山区滨海大道新绿岛大厦626室,13760282211,https://p1.meituan.net/440.0/merchantpic/ca85395b6956c54aa2b583041bb5f5a375135.jpg
洗帘猫（华侨城店）,南山区香山中街10号,400-680-0099,https://p1.meituan.net/440.0/joymerchant/1ca896224b4e0d19db18a7b05cc0540c--847839673.jpg
美邻清洁（南山中心区店）,南山区南山中心区天利名城B座26楼,null,https://p1.meituan.net/440.0/joymerchant/-1689443895087389141-47179397-1542182477582.jpg
马上来锁业开锁（南山店）,南山区后海大道1096-4号,15818502008,https://p0.meituan.net/440.0/mogu/75e41877e6f48a88fc6b894cf8bb30bc122229.jpg
全人清洁,南山区龙井路光前村东区53栋101室（龙珠三路南山睿园、大昌行三栋背面斜坡处）,0755-26407832,https://p0.meituan.net/440.0/ugcpic/4b40f8b2e05b175b04631af76262c181
刘记开锁,南山区南山大道3186号明江大厦内,18819003125,https://p0.meituan.net/440.0/dpdeal/90eee42c78a34657aa97064a413aef8453930.jpg
迁禧蚂蚁搬家（科技园店）,南山区深南大道深南花园裙楼C区1栋入口3楼,18025479896,https://p1.meituan.net/440.0/merchantpic/ecaf97f05ebcf2d3d565aa8dae01a454418805.jpg
e家政保洁家电清洗（南山店）,南山区南海大道西海明珠花园E栋1407室,400-666-4555,https://vfile.meituan.net/440.0/joymerchant/5800003659611673374-2301194-1526019118557.jpg
美宜佳家政有限公司,南山区康苑路2079号（民政公寓B栋5-6单元106室，近桃园地铁站D出口）,13699803951,https://p1.meituan.net/440.0/merchantpic/208668a7ebb3038d61ac17156b407d981038262.jpg
电通王家庭维修,南山区关口一路南富苑4栋107,400-663-3181,https://p1.meituan.net/440.0/joymerchant/d20539dfe2ec8b2c1a8664d770c66e5b-766119560.jpg
友田达怡宝桶装水专卖（大学城店）,南山区坪山村三区553号101铺(近深圳大学城),0755-26922222,https://p0.meituan.net/440.0/joymerchant/-345931436567597162.jpg
吾爱鲜花（繁花似锦店）,南山区桃园路20号,400-857-7720,https://p1.meituan.net/440.0/deal/204a788600f7d1c011ef50610af989b178835.jpg
仁和蚂蚁搬家,南山区石鼓路一本大厦5楼504室,13414203336/13717309951,https://p0.meituan.net/440.0/mogu/8cf8f49f14703465ce63d7deacb7559f71022.jpg
Fix+飞克斯专业苹果维修,南山区深南大道9030号瑞思中心611室（近世界之窗地铁站C1出口，益田假日广场，白石洲）,0755-86644820,https://p0.meituan.net/440.0/joymerchant/-5206289688995529962-3608983-1494065572983.jpg
仁皓律师事务所,南山区大冲商务中心c座2403（高新园地铁站旁）,0755-86704922/15013820380,https://p1.meituan.net/440.0/joymerchant/-6810018166697244852-50838237-1545622713643.jpg
阳光防水,南山区石洲中路26-1号,15712127237,https://p0.meituan.net/440.0/merchantpic/1955f306afdf27d7168e314a88739624315604.jpg
轻喜到家（南山店）,南山区前海路星海名城二期八组团1-2栋6A,0755-95013355/400-166-9366,https://p0.meituan.net/440.0/joymerchant/-7336010774116109162-27300222-1542698329369.jpg
意浓浓鲜花店,南山区南油新街口大厦1楼2013号铺,13923811277/17722687859,https://p0.meituan.net/440.0/deal/e930a570d234bd18a4b4839b6d88415f245516.jpg
鹏程开锁家电维修（南山店）,南山区科技路18号大冲新城花园2栋2A座,0755-22222191/13715297058,https://p1.meituan.net/440.0/mogu/e7d3e1176d91b49cf2d755a4eb85ba2637534.jpg
亮亮猫舍,南山区南新路2145号（南新路和学府路交口）,0755-26565158/18925215088,https://p1.meituan.net/440.0/joymerchant/-605290512398922972-22760715-1544753827477.jpg
壹方宠物会所,南山区文心二路与海德三道交接,13686415002,https://p1.meituan.net/440.0/merchantpic/bb2d6857b73f63c2f33fcb5ae13e9709719359.jpg
顺时行奢侈品回收鉴定服务中心,南山区高新技术园区科华路讯美科技广场1号楼409,400-833-1577,https://vfile.meituan.net/440.0/joymerchant/-688706990970352421-29461986-1532337356136.jpg
鸿基梦家政,南山区南新路2301号,null,https://p0.meituan.net/440.0/joymerchant/dddd90459eb0a6659d74d0feab602b88-1956630402.jpg
凤麟家政（南山店）,南山区后海大道名苑居北区2333-5号,0755-23931516/17388792526,https://p1.meituan.net/440.0/joymerchant/6cfaec40c6be3c0bc6b1f86e4aa45459--395405075.jpg
万嘉锁业,南山区南新路南园村新四坊6-1号（鼎太风华东侧）,13686816803,https://p1.meituan.net/440.0/joymerchant/d2161bd67b2a1aa566df29bf9f91e205--2024305147.jpg
叮当速洁（南山店）,南山区创业路中兴工业城5栋101,400-009-9010,https://p0.meituan.net/440.0/joymerchant/-757190077047462625-40049232-1544586810779.jpg
葫芦公馆宠物会所,南山区南海大道西海明珠商业街128号商铺,18616114311,https://p1.meituan.net/440.0/merchantpic/ba562f6a0cec44640c598f640569a28d157285.jpg
万众开锁（南山店）,南山区南新路南园村新四坊15号105号,15920081733/15920081722,https://p0.meituan.net/440.0/merchantpic/1124f5dd1d53e49da3a026e66065adcf147600.jpg
联想3C服务中心（海王大厦站）,南山区南海大道海王大厦A座6B（海雅百货旁）,0755-83281500,https://p1.meituan.net/440.0/joymerchant/-5003977740983700815-47576625-1543112287585.jpg
喵格里拉生活馆,南山区桂庙路22号向南瑞峰B2座1410,18922876632,https://p1.meituan.net/440.0/joymerchant/-468198363277621413-34107171-1540893580870.jpg
万众开锁（蛇口店）,南山区南海大道北科创业大厦一楼,15920081733/15920081722,https://p0.meituan.net/440.0/merchantpic/1124f5dd1d53e49da3a026e66065adcf147600.jpg
九零零家庭生活服务（南山区店）,南山区学府路101-11号,400-694-1900,https://vfile.meituan.net/440.0/joymerchant/8684308896359194354-43346074-1532570248753.jpg
妙想宠物会所,南山区石鼓路3009号鼎盛金域世家08-09商铺,17722568421,https://p1.meituan.net/440.0/merchantpic/00f343f8071d2779e009117c4a2891cf982390.jpg
小猴快修,南山区前海路大新地铁站D出口东侧50米,0755-86340606/18219209635,https://vfile.meituan.net/440.0/joymerchant/-3609700622502764985-3059965-1534238880567.jpg
达人家政,南山区石洲中路西一坊36栋102室（近白石洲京基百纳广场）,0755-26931260/18926020336,https://p1.meituan.net/440.0/poi/405af64c05f60bf429371db73e2dfe5d57344.jpg
易改衣eTailor全国连锁（南山京基百纳店）,南山区白石路168号京基百纳广场B1-44,18267888730,https://p0.meituan.net/440.0/joymerchant/7186928495563114736-3611131-1543989757136.jpg
永邦家政,南山区南光路15号中兴工业城5栋101室,0755-26921375,https://p0.meituan.net/440.0/joymerchant/4355765989765499450-45477260-1539833864060.jpg
磨坊家政,南山区石洲中路国际市长交流中心11楼-17号,18682493850,https://p0.meituan.net/440.0/joymerchant/-4990485206003575283-46466068-1538152263172.jpg
盛和美家政,"南山区桃园路147号南景苑大厦22M（万花筒肯德基楼上，桃园地铁站,南山医院）",0755-86039515/18926004521,https://p1.meituan.net/440.0/joymerchant/-4200544103712716700-27605881-1543553784577.jpg
马上来开锁（南头店）,南山区南头街关口正街74号（近南头街道）,13430739110,https://p1.meituan.net/440.0/mogu/42fd45fb0980b493226dfd3356008a831082905.png
快修到家（蛇口店）,南山区工业九路蛇口金竹园大厦一楼底商,13691779331,https://vfile.meituan.net/440.0/joymerchant/-6375891539636363088-23909678-1534847168495.jpg
Only Cat 只有猫店,南山区后海大道后海名苑居南区2253-7号,0755-86727520/15338750320,https://vfile.meituan.net/440.0/joymerchant/-3815120417305397700-45707654-1537870562651.jpg
安家乐搬迁（南山店）,南山区后海大道互联网创新创意服务基地208室,13392881913,https://p0.meituan.net/440.0/joymerchant/7547414123541623914-23883494-1544149279762.jpg
捷达电器维修中心（科技园店）,南山区科技中二路凯丽花园1栋,18923496087,https://vfile.meituan.net/440.0/joymerchant/7428094263887554802-23909678-1532574695137.jpg
Secret Cui高端私人定制,南山区中心路曦湾华府C0304（中国银行曦湾支行）,13520855777/13972066666,https://p0.meituan.net/440.0/merchantpic/94334edcf339c32aa630d0cc35f8afb7732651.jpg
任师傅开锁服务中心（南山店）,南山区学府路华城百货87-3号,13699879189,https://p0.meituan.net/440.0/merchantpic/42d6db4bfaa71d679ae6d3c13eb284df2714990.jpg
贝福管家（南山店）,南山区科苑北路科技园维用大厦312号,0755-86717220/13714012580,https://p0.meituan.net/440.0/joymerchant/-5123063952761353701-46012926-1538277116798.jpg
小跟班宠物乐园,南山区红龙路英达钰龙园D座D-22商铺,13266742855,https://vfile.meituan.net/440.0/joymerchant/2011078543138000029-23755731-1521886252325.jpg
十分到家清洗（南山店）,南山区南山大道桃花园f5栋102室,400-830-0100,https://p0.meituan.net/440.0/joymerchant/8829476506342934006-20864839-1545795023675.jpg
速派星电器维修服务中心（白石洲店）,南山区沙河东路新塘村一坊52-1号楼102室,13530209192,https://p1.meituan.net/440.0/mogu/19298584ad92ff9ebc060bacf900563269087.jpg
速诚电脑科技,南山区大新新村北区60号102（近前海路大新地铁站A出口大新小学旁）,13760388825,https://p1.meituan.net/440.0/poi/71378d6dbcd5459a86476075ff880bd024576.jpg
Lolli Cat 猫世界,南山区深圳中心路曦湾华府c-13号铺,0755-36384390/18681462213,https://p0.meituan.net/440.0/joymerchant/4998468713020413597-45827070-1541591659558.jpg
吉明环保（南山店）,南山区大新蚝业文化街9号,0755-85211306,https://p0.meituan.net/440.0/mogu/d22ea3198c6e80592f21b332cfac401d49712.png
华兴家电维修部,南山区南岗村海德二道424号,0755-86127628/13613045419,https://p1.meituan.net/440.0/shopmainpic/085bf93a7f22e6101365e5000311ae0520959.jpg
洁修哥（南山店）,南山区南山大道1175号（新绿岛大厦一层底商）,400-670-8378/13424412354,https://vfile.meituan.net/440.0/joymerchant/217960701025665945-21189378-1529470100810.jpg
急客通（南山店）,南山区南山街道南新路北头村2坊24号楼201,13682335459,https://p1.meituan.net/440.0/mogu/156d67c9368123b5cbf933430a121d1b102858.jpg
佳宇锁业,南山区银河路120号,0755-86553303,https://p0.meituan.net/440.0/dpdeal/d5da467050e721a9e7750467085bb39b139430.jpg
卡拉宠物生活馆（华侨城店）,南山区华侨城香山里花园一期1栋101-102室（高尔夫球场旁）,0755-86660454/13691692216,https://p0.meituan.net/440.0/merchantpic/c67628b2305c9468a49dfcaccb6c208d6348117.jpg
庆丰开锁（西丽366大街店）,南山区同沙路新围村141栋一楼（留仙居366大街旁）,15728560295,https://p1.meituan.net/440.0/mogu/2433ec93f72c70ae3f16e40b670bfcbe72305.jpg
一号家政（南山店）,南山区香山中街1-113号侨城汇房屋管家服务中心,18617005896,https://p0.meituan.net/440.0/merchantpic/cf5476fba9843ac29813d049b284e67b390713.jpg
万嘉开锁（科技园大冲店）,南山区科技路2-16号（大冲商务中心旁）,0755-88822274,https://p0.meituan.net/440.0/dpdeal/683d75d7aa76824ddac779861009e6b72656361.jpg
鹏程开锁家电维修（南山店）,南山区创业路2052-7号（海霞阁沿街商铺）,0755-88608234/13715297058,https://p1.meituan.net/440.0/mogu/e7d3e1176d91b49cf2d755a4eb85ba2637534.jpg
智人电脑维修（后海店）,南山区文心五路闽泰大厦B座1401A创富港进39室（1401B门内，近后海地铁站）,18924630934,https://p0.meituan.net/440.0/merchantpic/9c1b0368eabf8ac628cb0609bc23495627710.jpg
博艺广告招牌（鱼姐姐店）,南山区南山大道1079号（南海城中心对面（瑞鹏宠物医院对面））,0755-26410577/13510709489,https://p0.meituan.net/440.0/joymerchant/-8783329432174563934-46568337-1540803030290.jpg
幺宝手机维修,南山区科苑北路讯美科技广场3号楼506K（近科兴科学园）,400-636-3911/18665915404,https://vfile.meituan.net/440.0/joymerchant/-1436767326980355132-36173462-1520929767000.jpg
庆丰开锁家电维修（白石洲店）,南山区沙河东路新塘村一坊68号楼底商,15728560295,https://p0.meituan.net/440.0/merchantpic/aaa56100d9a148b48a9a28c4801714d0301121.jpg
祥瑞有限公司,南山区白石路白石洲东二坊90号楼602（京基百纳广场北行300米）,18926037966,https://p1.meituan.net/440.0/joymerchant/-4083692736893245883-26274781-1545376379569.jpg
岳辉广告（南山店）,南山区南山大道1081号,13510649886,https://vfile.meituan.net/440.0/joymerchant/-7657356429252244456-25034592-1519796033925.jpg
益民疏通清洁服务有限公司（南山店）,南山区前海路前海花园12栋102,13554920983,https://p0.meituan.net/440.0/joymerchant/4612868826679243474-30709284-1541681859702.jpg
纤手开锁换锁,南山区南山街道滨海大道南光村76栋101铺（南山地铁站）,13713539197/18207552829,https://p1.meituan.net/440.0/dpdeal/d2b263b5c60c18b6c5c635cb49cbfefb123336.jpg
家电小哥（南山店）,南山区学府路榆康大厦北座,400-166-5555,https://p1.meituan.net/440.0/joymerchant/5533423453226996663-21016001-1542762900726.jpg
万嘉开锁（蛇口店）,南山区兴华路8-2号（蛇口海上世界海滨花园一楼）,13713917652/13713917653,https://p0.meituan.net/440.0/dpdeal/683d75d7aa76824ddac779861009e6b72656361.jpg
轻松到家（西丽店）,南山区龙珠大道桃源村综合楼1楼,0755-36567055,https://p1.meituan.net/440.0/joymerchant/ff72719e0c8634bdeaba434877a8625a-635197051.jpg
桥恩心理全国连锁（南山总店）,南山区铜鼓路大冲国际中心5号楼22楼F,0755-86526362,https://p1.meituan.net/440.0/joymerchant/722465296700458338-31266876-1544057930802.jpg
锁王开锁,南山区南山大道与海德二道交叉口好来居一楼商铺,15218730330,https://p0.meituan.net/440.0/mogu/9a8142a2aadfae315d5c9e05125e9a4d103680.jpg
优享家电维修（南山店）,南山区西丽北路麦格理公寓B栋106铺,13310840922,https://p0.meituan.net/440.0/mogu/a89371dfa112c05f6d23e39fd0fb947680931.jpg
乐帮到家（白石洲店）,南山区红树街53号京基百纳广场底商,17704058842,https://p1.meituan.net/440.0/dpdeal/6671186fb70d3e04f4a6bdfd83de1f8737083.jpg
