商家名称,服务类目,主营范围,详细地址,服务区域,联系方式,品牌故事,图片地址
花千束品牌鲜花馆,鲜花,,福田区会展中心地铁站B出口,深圳市,400-666-7078,,https://p0.meituan.net/440.0/deal/d3c679214d3b6d3912c65e0cdd1a45f296986.jpg
檀薇初品鲜花（市民中心店）,鲜花,,福田区黄埔雅苑乐悠园1栋首层距福田站约465米,深圳市,0755-36518383/13686441206,,https://p0.meituan.net/440.0/deal/59a5e9303de772d0a1953144b46b2abd113901.jpg
夏木森秋创意生活花艺馆（皇庭广场店）,鲜花,,福田区福华三路118号皇庭广场一楼,深圳市,13138172117/13724840978,,https://p1.meituan.net/440.0/dpmerchantalbum/2835c61a19fee4eca3055c39a72017c7133622.jpg
檀薇初品鲜花（福华店）,鲜花,,福田区福华一路28号马哥孛罗好日子酒店1楼（距福田站约304米）,深圳市,18566771060/13686441206,,https://p1.meituan.net/440.0/deal/bfd70eef8c660eecae0d8da309f0921b101974.jpg
锦祺花芬鲜花（中心书城店）,鲜花,,福田区红荔路中心书城首层北区2号门,深圳市,18566752163,,https://p1.meituan.net/440.0/dpmerchantalbum/5c4b09f1b1426fe0a9449bf1f36f35a984415.jpg
檀薇初品鲜花（中心书城店）,鲜花,,福田区中心书城首层北区1号门(地铁少年宫站E出口距少年宫站约146米),深圳市,36518383/13686441206,,https://p1.meituan.net/440.0/deal/d227dbafe7ad2891b7ee4852a5ea9b57333684.jpg
花之恩鲜花店（福田店）,鲜花,,福田区福华路岗厦地铁站A口,深圳市,13632880897/18598260036,,https://p1.meituan.net/440.0/dpmerchantalbum/e2a4a06b58e8918af3618738611ba711189346.jpg
朵恋鲜花（福田店）,鲜花,,福田区滨河大道5004-10号皇洲花园8号楼103铺,深圳市,15323825050,,https://p0.meituan.net/440.0/dpmerchantalbum/b6a6c07f9e15300b942e25cfefc51b46207748.jpg
温馨花艺鲜花店（福田店）,鲜花,,福田区岗厦村东一坊71-2号（岗厦小学）,深圳市,13530386099,,https://p1.meituan.net/440.0/merchantpic/24375a5d82f41e6502e0f686b6015c37215419.jpg
花有缘鲜花（福田店）,鲜花,,福田区皇洲花园8栋101室（联合广场）,深圳市,18475633365,,https://p1.meituan.net/440.0/dpmerchantalbum/f9991cd67b5bb3fff960064887edfbd7346556.jpg
花千金鲜花（福田店）,鲜花,,福田区彩田路2010号中深花园大厦1楼,深圳市,15810836627,,https://p1.meituan.net/440.0/dpmerchantalbum/97044b401d0194ebf97ef2755a0a4e33230694.jpg
益辉鲜花坊（福田店）,鲜花,,福田区彩田路3001号（彩福大厦2楼）,深圳市,19807554871,,https://p0.meituan.net/440.0/dpmerchantalbum/2e945a307d45c56e24ec4a95129ee1be4734337.jpg
缘艺鲜花（福田店）,鲜花,,福田区福华三路4-6号（岗厦地铁站）,深圳市,13926589932,,https://p0.meituan.net/440.0/dpmerchantalbum/27e538fa72c36c30c9714ffe540305d1314825.jpg
爱朵朵鲜花（福田店）,鲜花,,福田区彩田路3036号彩天名苑首层1008铺,深圳市,15817317051,,https://p1.meituan.net/440.0/merchantpic/9e43b6f44c61bcde6a68585b714bd5f775080.jpg
澜馨花语（福源店）,鲜花,,福田区彩田路福源大厦1楼,深圳市,0755-22900674,,https://p0.meituan.net/440.0/deal/0535bbba74b2c142718ccd3bbae098fe212216.jpg
花倾城鲜花（岗厦店）,鲜花,,福田区深南大道与彩田路交口南行150米星河世纪大厦B栋,深圳市,17755026641,,https://p0.meituan.net/440.0/dpdeal/11e1374d1ff337cbceff68f9b0777bf3143771.jpg
小清新花艺（岗厦店）,鲜花,,福田区横岗街道新光老村46号101（东海佳超市旁）,深圳市,15002080165,,https://p0.meituan.net/440.0/poi/aa3a70f26b4fbc254affd8cb16aa31a5102400.jpg
丽石鲜花（福华店）,鲜花,,福田区福华路271号,深圳市,400-690-7520,,https://p0.meituan.net/440.0/deal/cd4809e8b19794612f2fd1726a275130261281.jpg
香浓花语鲜花店（福田店）,鲜花,,福田区岗厦村东三坊31号楼102号,深圳市,0755-21018396/13715117035,,https://p0.meituan.net/440.0/mogu/2f0c5fbaa8f40924d6d1bedeb3f6c58c133088.jpg
锦祺花芬鲜花（福源店）,鲜花,,福田区岗厦彩田路福源大厦1楼,深圳市,18566752163,,https://p1.meituan.net/440.0/dpmerchantalbum/1aed6136cd32d405492580fa3a872d2a295152.jpg
兰景丽园鲜花（会展中心店）,鲜花,,福田区彩田路彩福大厦2楼,深圳市,400-043-0370,,https://p1.meituan.net/440.0/poi/dc22c5b17614c389edcda6afb1794fea83968.jpg
檀薇初品鲜花（福源店）,鲜花,,福田区彩田路福源大厦1楼（近岗厦站）,深圳市,18566771060/13670081187,,https://p1.meituan.net/440.0/deal/d227dbafe7ad2891b7ee4852a5ea9b57333684.jpg
天马座花艺（岗夏店）,鲜花,,福田区彩田南路3002号,深圳市,400-865-8182,,https://p1.meituan.net/440.0/deal/9114c404cece9f705327f58c810a3cf197261.jpg
亦心花艺（购物公园店）,鲜花,,福田区滨河路万景花园A号商铺,深圳市,400-965-9520,,https://p0.meituan.net/440.0/poi/e6fbdba1857c3e74c9d797968ac6f0da79872.jpg
澜馨花语（星河店）,鲜花,,福田区彩田路3069号星河世纪第三空间4001号（近COCO购物公园）,深圳市,18926541142,,https://p0.meituan.net/440.0/deal/6985d090422daf719726ec2ea6ca14db195616.jpg
花记HUAJI鲜花店私人订制（福田店）,鲜花,,福田区彩田路星河第三空间C1座3层（近会展中心）,深圳市,15817315499/13824399947,,https://p1.meituan.net/440.0/dpmerchantalbum/e4a155f49136249bc284786d96747aa2153859.jpg
丽石鲜花（岗厦店）,鲜花,,福田区岗厦村东二坊5号（路发超市隔壁）,深圳市,400-690-7520,,https://p0.meituan.net/440.0/deal/cd4809e8b19794612f2fd1726a275130261281.jpg
澜馨花语（天健店）,鲜花,,福田区桂花路天健时尚名苑第二栋1楼011号商铺,深圳市,18926541142,,https://p0.meituan.net/440.0/deal/09740208788700b796526e4306de7f93478542.jpg
锦祺花芬鲜花（天健店）,鲜花,,福田区天健时尚名苑第二栋1楼001号商铺,深圳市,18566752163,,https://p1.meituan.net/440.0/dpmerchantalbum/1aed6136cd32d405492580fa3a872d2a295152.jpg
檀薇初品鲜花（天健店）,鲜花,,福田区天健时尚名苑第二栋1楼011号商铺距景田站约306米,深圳市,13686441206,,https://p0.meituan.net/440.0/deal/59a5e9303de772d0a1953144b46b2abd113901.jpg
贝特猫鲜花店（桂花路店）,鲜花,,福田区桂花路8号,深圳市,400-168-1957,,https://p0.meituan.net/440.0/dpdeal/55f47bfd40e5f42c84c83178ac04d86976823.jpg
情满轩花坊（保税区桂花店）,鲜花,,福田区桂花苑3栋D座,深圳市,18665876202,,https://p1.meituan.net/440.0/merchantpic/f41661abf22cd54f12b300766f53e4501015678.jpg
天马座花艺（保税区店）,鲜花,,福田区绒花路8号,深圳市,400-865-8182,,https://p1.meituan.net/440.0/deal/9114c404cece9f705327f58c810a3cf197261.jpg
大自然花店（罗湖店）,鲜花,,罗湖区南湖路3007号国贸商业大厦1楼,深圳市,18218540951/13530142287,,https://p0.meituan.net/440.0/dpmerchantalbum/644d3999c4332c1dc8ba6bc4dbb0a4f9761101.jpg
馨雅鲜花（国贸店）,鲜花,,罗湖区人民南路3005-12深房广场底商,深圳市,15323725317,,https://p1.meituan.net/440.0/dpmerchantalbum/d03344e8c473b8b6059e85c5c533ab0e4250956.png
珍爱鲜花连锁（南湖路店）,鲜花,,罗湖区南湖路3018号,深圳市,400-623-1316,,https://p0.meituan.net/440.0/deal/__45019704__3518716.jpg
爱尚礼鲜花（罗湖店）,鲜花,,罗湖区东门南路金龙大厦6楼,深圳市,0755-82918100,,https://p1.meituan.net/440.0/dpmerchantalbum/4b27442fb22fa7a3f0b2c8ec7768f63a3157193.jpg
心艺鲜花（罗湖店）,鲜花,,罗湖区嘉宾路金光华广场西侧,深圳市,18219528295,,https://p0.meituan.net/440.0/dpmerchantalbum/fb994f7b2fffba97327d96ff5e508a5a436194.jpg
大行花开（罗湖店）,鲜花,,罗湖区南湖街道东佳大厦1楼103铺,深圳市,400-092-5186/13922861815,,https://p1.meituan.net/440.0/deal/15558b528a629a6b65a580542928c60097683.jpg
花点时间花艺（金光华第六分店）,鲜花,,罗湖区双南街人民南路2028号,深圳市,0755-83210365,,https://p0.meituan.net/440.0/dpmerchantalbum/b5e36ac575e0507f66385e04c2e9f2b31936720.jpg
遇见花店（友谊路店）,鲜花,,罗湖区人民南路与友谊路交汇处13号,深圳市,0755-23894129/13798513841,,https://p1.meituan.net/440.0/dpmerchantalbum/6528f4904241eba0972e08c76b233e35125161.jpg
澜馨花语（国贸店）,鲜花,,罗湖区东门南路金龙大厦101室（下通道西南出口）,深圳市,0755-22900666,,https://p1.meituan.net/440.0/deal/9001b3760fdfae2b676c381979ea82ae200357.jpg
爱尚礼鲜花（东门店）,鲜花,,罗湖区嘉宾路1001号金鼎大厦4楼,深圳市,0755-82918100,,https://p0.meituan.net/440.0/dpmerchantalbum/8507e775399efd44afbb8b28ecb0e6485004728.jpg
小蓝帽花艺（金光华广场店）,鲜花,,罗湖区人民南路2028号金光华广场2F3-12C号,深圳市,13030295032,,https://p0.meituan.net/440.0/dpmerchantalbum/d6054542ee353a9adfd1acc5aebada4d207723.jpg
贝特猫鲜花店（嘉宾路店）,鲜花,,罗湖区嘉宾路2008号,深圳市,400-168-1957,,https://p1.meituan.net/440.0/dpmerchantalbum/c229b063b88fcb574bdcfb9fd1fde4c3183948.jpg
檀薇初品鲜花（罗湖店）,鲜花,,罗湖区人民南路2002号佳宁娜广场A座102（嘉里中心旁）距国贸站约354米（地铁国贸站A出口）,深圳市,13686441206/18566771060,,https://p0.meituan.net/440.0/deal/4fb8eca9669d0e336a5aea385627237e296810.jpg
聚福花卉（南洋店）,鲜花,,罗湖区迎春路海燕大厦旁,深圳市,13534289608,,https://p1.meituan.net/440.0/deal/a73b4f383cd009888700554661857e91272095.jpg
我的后花园（人民南路店）,鲜花,,罗湖区人民南路2030号（近金光华）,深圳市,15875500103,,https://p1.meituan.net/440.0/deal/__49532727__7697721.jpg
花点心思花艺（金色都汇店）,鲜花,,罗湖区春风路金色都汇108号,深圳市,0755-88605075,,https://p0.meituan.net/440.0/dpmerchantalbum/d6fd493d5371008fc3a3aa753e13d92385331.jpg
巧遇花坊,鲜花,,罗湖区南湖街道东门南路3002号华都园大厦首层A09铺（彭年酒店对面）,深圳市,13590200769,,https://p1.meituan.net/440.0/dpmerchantalbum/d4668d40f6d0e7a46997feedc1aa48e0187956.jpg
花千礼鲜花（罗湖国贸店）,鲜花,,罗湖区双南街人民南路天虹商场1-28,深圳市,15012702648,,https://p1.meituan.net/440.0/dpmerchantalbum/460381cf8803c15c0e0a6832db7baf6c77744.jpg
花之语鲜花（罗湖店）,鲜花,,罗湖区嘉宾路东佳大厦首层商铺,深圳市,18927434412,,https://p0.meituan.net/440.0/dpmerchantalbum/85e2c9f0b7dc9cf06c56cf561d3ea610392689.jpg
新原野花艺（罗湖店）,鲜花,,罗湖区南湖路3005号国贸商业大厦,深圳市,13312892487,,https://p0.meituan.net/440.0/dpmerchantalbum/35d6eb25e828a720ae1fc9bf950f29b7318433.jpg
缘来是你鲜花（石花坊鲜花联盟）,鲜花,,罗湖区人民南路嘉里中心1813号,深圳市,4006907520,,https://p1.meituan.net/440.0/deal/e938d3254a8fdcaa2fbe605949733a4194606.jpg
绿韵花艺（嘉宾路店）,鲜花,,罗湖区嘉宾路2008号东佳大厦一楼103铺（彭年酒店一楼，金光华广场附近）,深圳市,400-870-0900,,https://p0.meituan.net/440.0/dpmerchantalbum/96837a09739082b9ba47a08d1432b4f7305016.jpg
花样年华（花昔店）,鲜花,,罗湖区友谊路208号,深圳市,4008978769,,https://p1.meituan.net/440.0/deal/ce2c62682446b63b4a8a931852ded1c2234771.jpg
兰景丽园鲜花（万象城店）,鲜花,,罗湖区人民南路万象城沃尔玛楼下,深圳市,400-043-0370,,https://p1.meituan.net/440.0/poi/dc22c5b17614c389edcda6afb1794fea83968.jpg
天马座花艺（春风万家店）,鲜花,,罗湖区春风路2054号,深圳市,4008658182,,https://p1.meituan.net/440.0/deal/9114c404cece9f705327f58c810a3cf197261.jpg
亦心花艺（国贸店）,鲜花,,罗湖区春风路置地逸轩21号铺,深圳市,400-965-9520,,https://p0.meituan.net/440.0/poi/e6fbdba1857c3e74c9d797968ac6f0da79872.jpg
兰亭 Flower（国贸店）,鲜花,,罗湖区南湖路3007号国贸商场A座负2层205,深圳市,13631517883,,https://p0.meituan.net/440.0/merchantpic/aba2151fb84798b6c8aacb638d9daad0207847.jpg
小清新花艺（迎春路店）,鲜花,,罗湖区迎春路22号,深圳市,15002080165,,https://p0.meituan.net/440.0/dpdeal/f6ce39d4c5a9a3dfbdff9c86ea36d0ab67512.jpg
玫瑰缘花店（罗湖店）,鲜花,,罗湖区南湖路3007号国贸商业大厦1楼,深圳市,13318758859,,https://p0.meituan.net/440.0/dpmerchantalbum/184497cc47f8fa649e1b5f7c342d19ce264477.jpg
angel花艺,鲜花,,罗湖区广州飞翔公园地铁站（飞翔公园店）,深圳市,13922173302/13570233561,,https://p1.meituan.net/440.0/dpdeal/c64969938eced2e62cd7f0b2a0578ca8510389.jpg
兰博旺（国贸店）,鲜花,,罗湖区嘉宾路彭年广场105号,深圳市,13316976073,,https://p0.meituan.net/440.0/deal/adbb4e4e738d492e4677294e57a86937140899.jpg
深圳网络花店（罗湖店）,鲜花,,罗湖区南湖路湖心大厦1座（深圳国际贸易中心大厦东南）,深圳市,13823690286,,https://p0.meituan.net/440.0/mogu/7b5c3acf25eb2c0a4b58d7ddf62cb49a57183.jpg
温馨花店（迎春路分店）,鲜花,,罗湖区迎春路26号（国贸地铁E出口）,深圳市,400-608-8759,,https://p1.meituan.net/440.0/dpdeal/1741b87b082f76237b2c1d0a9ac6a3b3116341.jpg
爱之尚鲜花（海洋鲜花店）,鲜花,,罗湖区人民南路69号,深圳市,15712005221,,https://p1.meituan.net/440.0/deal/35d6c704142a375f92fd30bd2ac6ce21329854.jpg
夏木森秋创意生活花艺馆（国贸店）,鲜花,,罗湖区人民南路3002号天虹百货2楼（国贸地铁站）,深圳市,13138172117/13724840978,,https://p1.meituan.net/440.0/dpmerchantalbum/2835c61a19fee4eca3055c39a72017c7133622.jpg
如花,鲜花,,罗湖区南湖路3018号,深圳市,13688351436,,https://p0.meituan.net/440.0/deal/c85f9333aa950ea27c0fade9eb314c2777346.jpg
玫瑰驿站（南湖路店）,鲜花,,罗湖区南湖路3018号旁,深圳市,15889549020,,https://p1.meituan.net/440.0/dpmerchantalbum/131ae0132b3e7e9d0980029113b4e0d9428707.jpg
意合花艺（国贸地铁店）,鲜花,,罗湖区迎春路22号（迎春路与建设路交叉口东行20米路北）,深圳市,0755-27788366/18925226858,,https://p1.meituan.net/440.0/poi/9e19dcb5d70f6bd62ebfa93b24887756106496.jpg
情满轩花坊（国贸花店）,鲜花,,罗湖区国贸商业大厦A1号铺,深圳市,18665876202,,https://p0.meituan.net/440.0/poi/116aa394bf584237ed6ab424056d0b76131072.jpg
丽石鲜花,鲜花,,罗湖区东门南路3011-12号（东海大厦1楼）,深圳市,400-690-7520/18676377558,,https://p0.meituan.net/440.0/deal/cd4809e8b19794612f2fd1726a275130261281.jpg
兰景丽园鲜花（国贸店）,鲜花,,罗湖区人民南路国贸大厦办公楼,深圳市,400-043-0370,,https://p0.meituan.net/440.0/poi/e39915624d510f2b8af51a5be25303ef55296.jpg
丽石鲜花（建设路店）,鲜花,,罗湖区建设路1090号,深圳市,400-690-7520,,https://p0.meituan.net/440.0/deal/cd4809e8b19794612f2fd1726a275130261281.jpg
聚福花卉（向西店）,鲜花,,罗湖区东门南路2020号太阳岛大厦一楼,深圳市,13534289608,,https://p1.meituan.net/440.0/deal/a73b4f383cd009888700554661857e91272095.jpg
澜馨花语（春风店）,鲜花,,罗湖区春风路金色都会大厦1楼8号铺,深圳市,0755-22900663,,https://p0.meituan.net/440.0/deal/0535bbba74b2c142718ccd3bbae098fe212216.jpg
澜馨花语（深房店）,鲜花,,罗湖区人民南路3005号深房广场1楼（国贸对面）,深圳市,0755-22900700,,https://p0.meituan.net/440.0/deal/6985d090422daf719726ec2ea6ca14db195616.jpg
兰景丽园鲜花（春风路店）,鲜花,,罗湖区春风路3006号五矿大厦,深圳市,400-043-0370,,https://p1.meituan.net/440.0/dpdeal/b846742cede90bb8b1c22a8dfdb47f82113026.jpg
吾爱鲜花（花昔花店）,鲜花,,罗湖区友谊路208号,深圳市,400-052-1717,,https://p1.meituan.net/440.0/deal/204a788600f7d1c011ef50610af989b178835.jpg
檀薇初品鲜花（春风店）,鲜花,,罗湖区春风路金色都会大厦1楼6号铺  距湖贝站约450米,深圳市,0755-36518383/13686441206,,https://p1.meituan.net/440.0/deal/8e43b5790481a2d01e2cfeb18e197d3e110815.jpg
今喜花屿（思露花艺）,鲜花,,罗湖区人民南路1023号彭年酒店停车场内,深圳市,13164768943,,https://p0.meituan.net/440.0/deal/f3962299ae353ba33a2a5f1fe47eb606124648.jpg
春暖花开鲜花店（罗湖店）,鲜花,,罗湖区莲塘路211号八巷29号,深圳市,13922899547,,https://p0.meituan.net/440.0/dpmerchantalbum/e77941dcf31f5ffa4240cee0e6933343117754.jpg
花之恋鲜花（莲塘店）,鲜花,,罗湖区罗沙路3066-8号,深圳市,15889391076,,https://p0.meituan.net/440.0/merchantpic/a6d4bec8f79638c52b4aa0002c48d2741029359.jpg
爱丽丝花坊（枫叶花店）,鲜花,,罗湖区延芳路路62号,深圳市,18475563400,,https://p1.meituan.net/440.0/dpmerchantalbum/45c1d4d1586dbf74a4e4ae8379b7f98e394469.jpg
绿韵花艺鲜花店（莲塘店）,鲜花,,罗湖区莲塘街道景福花园一栋103房,深圳市,400-870-0900,,https://p0.meituan.net/440.0/dpmerchantalbum/96837a09739082b9ba47a08d1432b4f7305016.jpg
亦心花艺（莲塘店）,鲜花,,罗湖区聚宝路162号,深圳市,400-965-9520,,https://p0.meituan.net/440.0/dpdeal/728faf50851bc331cc84b2cf231aa21a216684.jpg
AROM花艺,鲜花,,罗湖区黄贝街道罗沙路西岭花园3栋2单元503室,深圳市,13530879182/18676774439,,https://img.meituan.net/440.0/msmerchant/bad9f02a7e9dae9ba5ef6a64bdb10cb954896.jpg
花莯佳妧（莲塘华润万家店）,鲜花,,罗湖区聚财路莲塘华润万家一楼中庭,深圳市,13425168390,,https://p0.meituan.net/440.0/merchantpic/d1fb1059fc7d3178caba5af7d991248a196479.jpg
兰景丽园鲜花（莲塘店）,鲜花,,罗湖区莲塘国威路,深圳市,4000430370,,https://p1.meituan.net/440.0/dpdeal/1dfe00acc0eb3df402299dec89ba7e4f187667.jpg
永丰花艺馆,鲜花,,罗湖区莲塘村聚宝路南康百货大门左侧（华润万家   麦当劳   工商银行）,深圳市,13798263036,,https://p1.meituan.net/440.0/dpmerchantalbum/d2078592b5be9aa7d3aee520bc541ef4220195.jpg
千姿花店·花美家,鲜花,,罗湖区莲塘国威路111号,深圳市,400-088-8775,,https://p0.meituan.net/440.0/deal/c869c45340b43519ad2cf774bf0f6072384306.jpg
花莯佳妧（莲塘总店）,鲜花,,罗湖区莲塘路290号（鹏兴花园二期街铺小白兔干洗店）,深圳市,13425168390,,https://p1.meituan.net/440.0/shopmainpic/5751916a83fa282481ffb67bb7e0be6d498633.jpg
花有缘鲜花（罗湖店）,鲜花,,罗湖区人民北路3146号永通大厦一层,深圳市,18475633365,,https://p0.meituan.net/440.0/dpmerchantalbum/ba644c66131d97e5b751927c4bf4965e414339.jpg
爱恋鲜花（罗湖绿轩花艺）,鲜花,,罗湖区梅园路215号,深圳市,15875509737,,https://p0.meituan.net/440.0/dpdeal/252dbacc6e82dd490dad862f2613ce4c94815.jpg
花如语鲜花店（罗湖店）,鲜花,,罗湖区童乐路69号中信星光名庭17栋,深圳市,15920000113,,https://p0.meituan.net/440.0/dpmerchantalbum/705e21824c81cd9093ce50a523df3083322069.jpg
情语鲜花（笋岗店）,鲜花,,罗湖区宝岗路165号（笋岗派出所、田通宾馆）,深圳市,17722682703,,https://p1.meituan.net/440.0/dpmerchantalbum/38e85b1cfc6e886aebd0bfe0712eea7d544866.jpg
花晗flower（HALO广场店）,鲜花,,罗湖区梨园路8号halo广场（ADC艺展中心2期东南）,深圳市,18823862732,,https://p0.meituan.net/440.0/dpmerchantalbum/49a17ad010814497dfbb22a7af1df6a2201881.jpg
芳园鲜花店,鲜花,,罗湖区国际商品交易大厦,深圳市,0755-22902789,,https://p0.meituan.net/440.0/dpmerchantalbum/6f631bb582646de0406b301146ee18a0159729.jpg
红太阳花店（罗湖店）,鲜花,,罗湖区宝岗路笋岗村72号,深圳市,18818699682,,https://p0.meituan.net/440.0/dpmerchantalbum/53af56b8950712e9b61dfc522a80f364310146.jpg
花语花意Flower（红岭北店）,鲜花,,罗湖区梅园路123号,深圳市,18028595368,,https://p1.meituan.net/440.0/deal/__49532727__7697721.jpg
缘艺鲜花（笋岗店）,鲜花,,罗湖区宝岗路笋岗新190栋,深圳市,13926589932,,https://p0.meituan.net/440.0/dpmerchantalbum/efc645707f31e18ec9c95ed2159aa80f283024.jpg
新原野花艺（星光商业广场店）,鲜花,,罗湖区宝安北路2018号星光商业广场2楼,深圳市,13312892487,,https://p0.meituan.net/440.0/dpmerchantalbum/35d6eb25e828a720ae1fc9bf950f29b7318433.jpg
锦祺花芬鲜花（艺展店）,鲜花,,罗湖区梅园路艺展中心三期六楼107号,深圳市,18566752163,,https://p1.meituan.net/440.0/dpmerchantalbum/5c4b09f1b1426fe0a9449bf1f36f35a984415.jpg
绿韵花艺鲜花店（田心村店）,鲜花,,罗湖区田心村50号101（田心村公交站，田心酒店）,深圳市,400-870-0900,,https://p0.meituan.net/440.0/dpmerchantalbum/96837a09739082b9ba47a08d1432b4f7305016.jpg
丽石鲜花（洪湖店）,鲜花,,罗湖区洪湖路11号洪湖花园B座1层,深圳市,400-690-7520/18676377558,,https://p0.meituan.net/440.0/deal/cd4809e8b19794612f2fd1726a275130261281.jpg
贝特猫鲜花店（宝岗路店）,鲜花,,罗湖区宝岗路154号附近,深圳市,400-168-1957,,https://p1.meituan.net/440.0/dpmerchantalbum/c229b063b88fcb574bdcfb9fd1fde4c3183948.jpg
澜馨花语（艺展店）,鲜花,,罗湖区梅园路艺展中心三期六楼107室,深圳市,0755-22900707,,https://p0.meituan.net/440.0/deal/3c40435c9c13a276817afa382ed6cb22103410.jpg
桃夭花艺（笋岗店）,鲜花,,罗湖区八卦一路鹏盛村（沃尔玛附近）,深圳市,400-056-5113,,https://p0.meituan.net/440.0/dpmerchantalbum/d82805ceeb0f17c4114f115d1d73418d1258802.png
天马座花艺（笋岗店）,鲜花,,罗湖区北路2066号,深圳市,400-865-8182,,https://p1.meituan.net/440.0/deal/9114c404cece9f705327f58c810a3cf197261.jpg
檀薇初品鲜花（田心店）,鲜花,,罗湖区笋岗田心村33栋首层,深圳市,0755-36518383/13686441206,,https://p1.meituan.net/440.0/deal/d227dbafe7ad2891b7ee4852a5ea9b57333684.jpg
聚福花卉（笋岗店）,鲜花,,罗湖区桃园路181号旁（7天酒店旁）,深圳市,13534289608,,https://p1.meituan.net/440.0/deal/a73b4f383cd009888700554661857e91272095.jpg
予里花艺工作室,鲜花,,罗湖区华商时代公寓8J（笋岗海关）,深圳市,15820423221,,https://p1.meituan.net/440.0/dpmerchantalbum/dcb87c58b9712250e6873c29a1af5c344511678.jpg
丽石鲜花（百家盛店）,鲜花,,罗湖区人民北路3079-1,深圳市,400-690-7520,,https://p0.meituan.net/440.0/deal/cd4809e8b19794612f2fd1726a275130261281.jpg
香浓花情（花颜悄语）,鲜花,,罗湖区宝安路2089号,深圳市,400-897-8769,,https://p0.meituan.net/440.0/deal/93a4ee3a770448ccdec5c9ffdf7a406a231332.jpg
百花苑鲜花店（罗湖店）,鲜花,,罗湖区翠竹路与布心路华达园公寓,深圳市,13926509233,,https://p0.meituan.net/440.0/mogu/7c27f6aa0f8eb6abb97562109b901c90277272.jpg
心艺鲜花（翠竹店）,鲜花,,罗湖区太安路128号新港鸿豪苑,深圳市,18219528295,,https://p0.meituan.net/440.0/dpmerchantalbum/03b72fc9c501680adefae18d7464ad3554379.jpg
遇见花花艺连锁（翠竹店）,鲜花,,罗湖区翠竹路1050号高标大厦1楼106号,深圳市,18566237925/15302688548,,https://p0.meituan.net/440.0/shopmainpic/89feba45637756d7570bcf3d9354f1d1133780.jpg
檀薇初品鲜花（翠竹店）,鲜花,,罗湖区翠竹路1050号高标大厦1楼106号（翠竹站北行415米）,深圳市,13686441206/18566771060,,https://p0.meituan.net/440.0/deal/4fb8eca9669d0e336a5aea385627237e296810.jpg
澜馨花语（翠都店）,鲜花,,罗湖区翠竹路1001号翠都花园B1楼A15号铺(翠竹苑公交站旁),深圳市,0755-22900667,,https://p0.meituan.net/440.0/deal/6985d090422daf719726ec2ea6ca14db195616.jpg
玫瑰誓言Rose vows（东门北路店）,鲜花,,罗湖区文锦中路2092号怡泰大厦店二楼,深圳市,400-921-9592,,https://p0.meituan.net/440.0/ugcpic/9604b9c54ed7cae610b39a34b36dce41801628.png
花世家（翠竹店）,鲜花,,罗湖区翠竹路2058号（旭飞华达园1楼底商）,深圳市,17818007827,,https://p0.meituan.net/440.0/dpmerchantalbum/ec12c605ae74bc06cd0b218775cac8971111830.png
聚福花卉（翠竹配送点）,鲜花,,罗湖区翠竹路1002号,深圳市,13534289608,,https://p1.meituan.net/440.0/deal/17de1751cd26b6ec260b2dd34d788a38634372.jpg
贝特猫鲜花店（翠竹路店）,鲜花,,罗湖区翠竹路1055号,深圳市,400-168-1957,,https://p1.meituan.net/440.0/dpmerchantalbum/c229b063b88fcb574bdcfb9fd1fde4c3183948.jpg
Huahua100鲜花店（翠竹路店）,鲜花,,罗湖区翠竹路1053号（翠竹路万家交通银行左侧）,深圳市,400-728-5949,,https://p1.meituan.net/440.0/poi/169f99a4d8ddb50ed611b6591b375b7081920.jpg
石花坊（翠竹店）,鲜花,,罗湖区翠竹路2028号,深圳市,400-690-7520,,https://p1.meituan.net/440.0/deal/c067b45e424c06727dd185620f9fe96a321444.jpg
浪漫花屋鲜花店（罗湖店）,鲜花,,罗湖区东门旺角购物广场2楼,深圳市,15817355705,,https://p0.meituan.net/440.0/merchantpic/bb4c4f2506b43c66d5786575302fc73b334790.jpg
百花苑鲜花店（罗湖东门店）,鲜花,,罗湖区东门中路城东街6号兴华广场二楼,深圳市,13926509233,,https://p0.meituan.net/440.0/mogu/af82a2a0257440d46ccd127adbbf6f91432549.jpg
临菊花艺鲜花店（东门老街店）,鲜花,,罗湖区人民北路文化娱乐中心105商铺（近莎美美容美发用品商场楼下）,深圳市,18928441505,,https://p0.meituan.net/440.0/mogu/9ffe023fb127e424b4136412b36205f3185896.jpg
米兰鲜花（罗湖店）,鲜花,,罗湖区东门乐园路128号,深圳市,18823327225,,https://p1.meituan.net/440.0/dpmerchantalbum/ee77270bad9f3225bb8db85c29b20b55447181.jpg
花点时间花艺（太阳广场店）,鲜花,,罗湖区东门解放路太阳广场4楼,深圳市,0755-82777310,,https://p0.meituan.net/440.0/dpmerchantalbum/b5e36ac575e0507f66385e04c2e9f2b31936720.jpg
牡丹鲜花旗舰店（牡丹鲜花146店）,鲜花,,罗湖区中兴路30号,深圳市,400-033-9596,,https://p1.meituan.net/440.0/deal/050477faebb785b4a8e3124f314e6611465369.jpg
花点心思花艺（百货广场店）,鲜花,,罗湖区深南东路百货广场大厦8009室,深圳市,0755-88605075,,https://p0.meituan.net/440.0/dpmerchantalbum/d6fd493d5371008fc3a3aa753e13d92385331.jpg
