开锁,福田区,全部
中正齿科（新安店）,宝安区新安一路112号泰华苑113号铺,0755-27872520/27873099,https://p0.meituan.net/440.0/joymerchant/ac57e1a1c4e34f666f706e132b4352db-1094325180.jpg
爱的口腔门诊部,宝安区新安街道留仙大道汇聚创新产业园五楼,0755-81731253/400-671-6016,https://vfile.meituan.net/440.0/joymerchant/-7080333552179853004-39277602-1524623032925.jpg
正夫口腔（宝安中心店）,宝安区金兰路宝安中心天悦龙庭B-113号,0755-29639039,https://p0.meituan.net/440.0/deal/bfc56d94158e84cb757c2b702fe97ddb64548.jpg
尔睦口腔（丽沙花都店）,宝安区富通路7号（丽沙花都南门）,0755-23728830/23727225,https://p1.meituan.net/440.0/joymerchant/-1983337356610067171-29107191-1505350665677.jpg
正夫口腔（福永店）,宝安区荔园路幸福花园10栋102-103室（近荔园路）,0755-28811199,https://p1.meituan.net/440.0/dpdeal/b0fef3c5cf97958fff11a2cececf735265997.jpg
正夫口腔（新安店）,宝安区新安街道新安西路宝城中心区N8区金泓凯旋城12栋157（地铁新安站A出口）,0755-29669396,https://p0.meituan.net/440.0/dpdeal/ed3d2aadc0af2d089978f2da5713978a64752.jpg
正夫口腔（宝安旗舰店）,宝安区西乡大道新湖路圣淘沙骏园11栋商场301（天虹商场对面）,0755-23724129,https://p1.meituan.net/440.0/dpdeal/9c5cf1298600510e647eb32a54447322177492.jpg
子文齿科（西乡店）,宝安区西乡大道西乡天虹对面天琴阁一层5号商铺爱婴岛旁（天琴阁网咖）,0755-27795292/13714706116,https://p1.meituan.net/440.0/joymerchant/5b3374763089aca4378b433a91e4f0f6-1678442146.jpg
健康服务,龙岗区,全部
南州口腔（华南总院）,龙岗区龙岗大道2279号知春里大厦首层（布吉社保局楼下，大芬地铁站C出口北行200米）,400-006-6120,https://vfile.meituan.net/440.0/joymerchant/455557505945475264-30815998-1523871608914.jpg
圣浩齿科·华丹医院口腔科（龙岗中心城店）,龙岗区向银路100号（近龙城广场地铁站B出口，广播电视大楼斜对面）,18680365213,https://p0.meituan.net/440.0/joymerchant/896257618136396491-21951141-1541411805825.jpg
凯伦口腔（坂田天虹店）,龙岗区五和大道坂田天虹商场斜对面（五和地铁C出口直行300米）,0755-28833828,https://p1.meituan.net/440.0/joymerchant/5292069996058430551-21981358-1545401372636.jpg
美年大健康体检中心（美益康门诊部）,龙岗区中兴路105号儒骏大厦,0755-36880477,https://p1.meituan.net/440.0/joymerchant/52763e2f085a1cd4e678cdb452413581-392955804.jpg
深圳港龙医院口腔科,龙岗区龙岗大道3012号（吉祥地铁站B出口）,0755-84564991,https://p1.meituan.net/440.0/joymerchant/-4031728273681624345-21403579-1543291826713.jpg
双龙口腔门诊部（双龙总店）,龙岗区龙岗大道双龙地铁站B出口国美电器一楼,400-999-9396,https://vfile.meituan.net/440.0/joymerchant/8261124452579966341-21443163-1534832371858.jpg
铭德口腔门诊部,龙岗区龙岗大道龙城广场地铁站D出口即到（万汇大厦一楼115号）,0755-84827758,https://p1.meituan.net/440.0/joymerchant/6294940442457629804-29395221-1545721073823.jpg
光美口腔（横岗店）,龙岗区龙岗大道信义御城3S110-111号商铺（横岗地铁站B出口直行200米）,0755-84870082,https://p1.meituan.net/440.0/joymerchant/-3617352760165488592-41899693-1544583046008.jpg
希奥口腔（大芬旗舰店）,龙岗区中翠路145号（大芬地铁站A2出口，佳悦酒店二楼）,0755-28727200,https://vfile.meituan.net/440.0/joymerchant/-5324511155904121714-26941910-1532162630148.jpg
汪洋齿科（万科总店）,龙岗区龙翔大道万科大厦21层（万科广场公交车站）,0755-28991060,https://p0.meituan.net/440.0/joymerchant/-7556796137926742983-23567778-1538379500534.jpg
潘逊玲口腔诊所（五和南路店）,龙岗区五和南路88号（一点点奶茶店旁）,0755-28442433/15986656535,https://p0.meituan.net/440.0/mogu/7177568ef4f48313b6bffbcc48cb575b221669.jpg
豆芽口腔门诊,龙岗区平湖镇上木古平新南路25号（平吉上苑2期对面）,0755-28283037,https://p0.meituan.net/440.0/dpdeal/2872022c1512fa19a12b0531acf40368430839.jpg
新大地口腔（双龙旗舰店）,龙岗区龙翔大道6067号（近公园大地，兴业银行隔壁）,0755-89935999,https://p0.meituan.net/440.0/joymerchant/-2485897916911878752-40195904-1541505710400.jpg
美哈口腔（摩尔城分院）,龙岗区建新路喜悦里二期68号（南联地铁B3出口150米）,400-877-7120,https://p0.meituan.net/440.0/joymerchant/-271826473689680050-856393-1545296901110.jpg
万东医院体检中心,龙岗区吉华街道吉华路217号、219号（西环路2-4号，长龙地铁站A出口）,0755-28281111,https://p0.meituan.net/440.0/joymerchant/bf8fc47099d401fb0cb7cea4d7c7e442-2024775391.jpg
肖传国口腔,龙岗区坂雪岗大道4035号（宝岗派出所）,0755-85228932,https://p1.meituan.net/440.0/joymerchant/4392832318134995908-21403579-1543291847648.jpg
立世达特品牌口腔·吴雁芬口腔,龙岗区布沙路160号颂雅苑160-06铺（金沙港保健城楼下）,0755-89367358/400-833-8120,https://p1.meituan.net/440.0/mogu/b5cbf5fb67f0061e684dde29c07f3178272390.jpg
菲利口腔,龙岗区坂雪岗大道4088号综合楼泽润中心A325室（近天安云谷）,0755-28686880/13823662702,https://p0.meituan.net/440.0/joymerchant/ce44ecf1b20aae96becf3fd138a3bc46--1732922915.jpg
同步齿科同富口腔门诊,龙岗区布吉街道吉华路189号汇洋大厦8、9、10楼,0755-29668092,https://p1.meituan.net/440.0/joymerchant/50103c278634f0f8daa10b954201b07a-1461604511.jpg
言成齿科,龙岗区春华四季园12栋58号商铺（花园正门）（万科四季花城）,0755-28227555,https://p1.meituan.net/440.0/poi/506ac5fcd21aee6394d62b637078a4f9110592.jpg
千喜口腔（横岗分店）,龙岗区松柏路银信商场二期2楼2001铺（横岗地铁A口，横岗大厦旁，H-ONE银信商场内）,0755-28512458,https://p0.meituan.net/440.0/mogu/d1b0041a76f718d5f269a048992d42ed167230.jpg
正杰口腔,龙岗区新村路27号二楼（地税局后面150米）,0755-28800094/13420990855,https://p1.meituan.net/440.0/dpdeal/4eab7873297a73bd5584ace24140bbd239662.jpg
圣亚口腔（布吉总院）,龙岗区吉华路布吉老街站台（天桥旁）,0755-28273017,https://p0.meituan.net/440.0/joymerchant/ae9e421e559599117958866b718803db--668140725.jpg
泽福口腔门诊部,龙岗区百利路6号信义御珑豪园S-11-13号商铺（魔方公寓利金城店正对面）,0755-28999583/15986698858,https://vfile.meituan.net/440.0/joymerchant/4422402620276907617-41702173-1532680666308.jpg
嘉良齿科嘉良牙科,龙岗区坂田街道珠江旭景佳园二期106商铺（华润万家旁）,0755-61216669/18575695672,https://p1.meituan.net/440.0/joymerchant/3381253132822373447-780323-1505704512251.jpg
张志强口腔连锁（布吉百合星城店）,龙岗区湖南路百合星城1期B栋一楼53-54号商铺（百合酒店后门正对面，工商银行侧门巷子内）,0755-28709801/13715164808,https://p1.meituan.net/440.0/joymerchant/4fc046a4d4894ffef3a29c2d594920e7--753575570.jpg
信義齿科,龙岗区坂田街道雪岗北路2043号（天安云谷二栋江苏银行对面）,0755-89366959,https://p1.meituan.net/440.0/merchantpic/6d429e330ed7bb2e6bff7d6c51405903355881.jpg
启飞齿科连锁（坂田店）,龙岗区坂田街道五和南路106号（五和地铁站B出口前走30米）,0755-29577326,https://p1.meituan.net/440.0/joymerchant/3e328238de4d423b9c0299d5a5ed0061-303283250.jpg
张志强口腔连锁（布吉京南华庭旗舰店）,龙岗区罗岗路京南华庭107-3商铺（平安银行罗岗支行旁）,0755-28709601/18025464808,https://p0.meituan.net/440.0/joymerchant/59da324127f8f059c45904efde92d11a-1315157969.jpg
陈建荣口腔（平湖店）,龙岗区佳业路5号恒迪公寓105商铺（平湖山水酒店斜对面）,0755-89894843,https://p0.meituan.net/440.0/dpdeal/ef9e59c2ceab8fb4f88db4733ac39d5656700.jpg
拜博口腔（布吉店）,龙岗区龙岗大道大都汇大厦（地铁3号线布吉站A出口或东4出口）,400-850-0755,https://p1.meituan.net/440.0/joymerchant/-206458164939938980-23882867-1545296794917.jpg
亲和齿科（华润万象汇店）,龙岗区翔鸽路华润万象汇购物中心L2层L252号商铺,0755-28703866,https://p1.meituan.net/440.0/joymerchant/3577915070864361916-21469984-1541835295600.jpg
圣浩齿科·丹和门诊部口腔科,龙岗区丹河南路37-3号（丹竹头村万润百货旁）,18588401609,https://p1.meituan.net/440.0/mogu/718d98b4363b79ff1b33066af78ca4d3192610.jpg
雅博士口腔连锁（信义店）,龙岗区百鸽路布吉信义假日名城博雅园A栋101号商铺,0755-36890915/13480869596,https://p1.meituan.net/440.0/deal/201107/02/YBS1.jpg
缪惠娥口腔诊所,龙岗区布吉街道布吉乐民路60号（布吉公园对面）,13602598759,https://p1.meituan.net/440.0/joymerchant/2727043888129039221-22363653-1506392014677.jpeg
健康体检中心-康和健门诊,龙岗区龙岗街道九洲家园2栋10号商铺正对面,null,https://p0.meituan.net/440.0/ugcpic/9604b9c54ed7cae610b39a34b36dce41801628.png
丹鹏辉口腔诊所,龙岗区泽福路39号龙城国际10栋108商铺,0755-28342212/15818564817,https://vfile.meituan.net/440.0/joymerchant/-9098722013508631582-41105823-1528947560372.jpg
艾伦斯口腔诊所,龙岗区万科城风情步行街C区华润万家对面,0755-89202043/18813649089,https://p1.meituan.net/440.0/joymerchant/3184012113991564308-23349953-1503363660644.jpg
格伦菲尔口腔连锁（布吉卓越店）,龙岗区百鸽路361号百合星城二期（苏宁电器对面，麦当劳旁）,0755-32905234,https://vfile.meituan.net/440.0/joymerchant/6452771086984824379-39816191-1527008433769.jpg
亚美齿科,龙岗区西环路6号（长龙地铁站A出口斜对面）,0755-61215878,https://vfile.meituan.net/440.0/joymerchant/-3644158813545445834-37223757-1530018788840.jpg
睿齿口腔门诊部,龙岗区龙岗路15号华兴苑101,0755-84802351,https://p0.meituan.net/440.0/dpdeal/a6828a70955c1f542d2c0324f9efadd368994.jpg
言成齿科,龙岗区雅园路万科第五园一二期入口雅园路9-21号商铺（面点王斜对面）,0755-89378822,https://p0.meituan.net/440.0/joymerchant/-6597033492101280361-28010920-1502954139308.jpg
圣浩齿科·万东医院口腔（龙岗布吉店）,龙岗区吉华路219号（长龙地铁A出口对面）,18566715196,https://p1.meituan.net/440.0/joymerchant/6987739576527632559-21951141-1540987724343.jpg
格伦菲尔口腔（龙岗店）,龙岗区龙岗大道吉祥地铁站C出口20米秉心商务楼2-3楼,0755-28909895/18565778975,https://p1.meituan.net/440.0/joymerchant/01156fa703fd7393e449630be740229d.jpg
同步齿科同恒门诊（坂田店）,龙岗区坂田街道吉华路635号佳华领汇广场一期1栋A座01层02号铺,0755-29668092/84867985,https://p0.meituan.net/440.0/dpdeal/a02db4c9af1eb43ab551cc4440345c72170154.jpg
圣浩齿科（向阳门诊部口腔科）,龙岗区平南路6号（明金丽展示架对面）,18672534008,https://p0.meituan.net/440.0/mogu/7add8d210c52c5563c098348321a93b1324439.jpg
南州口腔（龙岗分院）,龙岗区龙平东路286号（沃尔玛对面）,400-006-6120,https://p0.meituan.net/440.0/dpdeal/74485a3081e69a257705606bb7e0f6bd100158.jpg
向阳门诊部体检中心,龙岗区平南路,null,https://p0.meituan.net/440.0/dpdeal/5070bdfc624c10ed15f2a6d55999462440232.png
立世达特品牌口腔·魏秋慧口腔,龙岗区龙岗大道保利上城5栋112商铺,0755-84564516,https://vfile.meituan.net/440.0/joymerchant/3250085460027871191-27060898-1532142276461.jpg
希奥口腔·瑞泰分院,龙岗区龙福西路宏兴苑花园10栋103号,0755-89250610,https://vfile.meituan.net/440.0/joymerchant/1665790156778663535-26941910-1532913243691.jpg
健康服务,龙华区,全部
爱芽康口腔,龙华区梅龙大道东泉新村14-18栋106（近锦江之星，民兴路口公交站）,0755-29480183/18028780115,https://p1.meituan.net/440.0/joymerchant/2638990847927736786-48728194-1544429542965.jpg
格伦菲尔口腔（民治店）,龙华区民治大道天虹商场斜对面（潜龙鑫茂花园A区5栋116号）,0755-29000958,https://p0.meituan.net/440.0/joymerchant/7537071808750562304-25750229-1495870328622.JPG
贝壳齿科（大和店）,龙华区大和路中航格澜阳光花园2期首层商铺（近浦发银行后）,0755-21008489,https://p0.meituan.net/440.0/joymerchant/32f48ea261cd448c6eb8a7d9eacc66bb--1476134458.jpg
凯伦口腔（滢水山庄店）,龙华区龙华新区民治梅坂大道滢水山庄一区大门口旁,0755-28180026,https://p1.meituan.net/440.0/joymerchant/-5174302583859149620-21981358-1545401334235.jpg
格伦菲尔口腔（民治润发店）,龙华区民治大道中国农业银行斜对面（大润发斜对面）,0755-29007095/18127076223,https://vfile.meituan.net/440.0/joymerchant/-4759326703822374132-37698423-1522841758518.jpg
宝联齿科门诊部,龙华区龙华街道与和平中路交叉口和平综合大厦1-3层,0755-28039313,https://p0.meituan.net/440.0/joymerchant/8840369883696693850-22631204-1495441645940.jpg
华美齿科连锁（文琼树口腔诊所）,龙华区华繁路与华悦路交口永新生活超市斜对面,0755-36529693/13008862487,https://p1.meituan.net/440.0/mogu/8da087fe229f222f8674ae9f96131754224729.jpg
德贝美口腔,龙华区清泉路金銮国际商务大厦3期B区3楼（清湖地铁站C出口右转20米）,0755-28092885/21058479,https://p0.meituan.net/440.0/joymerchant/5233895288221042271-45271722-1541238988297.jpg
分享口腔,龙华区华荣路大浪商业中心第三栋G105,0755-21033895/18124063815,https://p0.meituan.net/440.0/joymerchant/-7772523672674518126-41730198-1543220961817.jpg
深森齿科（白石龙店）,龙华区白石龙路汇龙苑2栋107-111铺（白石龙地铁A出口旁）,0755-21016179/18923484536,https://vfile.meituan.net/440.0/joymerchant/-8150158416338994265-38313387-1530267069472.jpg
龙博口腔,龙华区龙华新区东环一路673号（东环一路与龙观路交汇处）,0755-28100500/18816762733,https://p0.meituan.net/440.0/joymerchant/-8533511797367769889.jpg
格伦菲尔口腔（龙华店）,龙华区和平东路与清泉路交汇处新宝城大酒店旁,0755-33161526,https://vfile.meituan.net/440.0/joymerchant/5365080705613471461-21380554-1520414109764.jpg
深森齿科（龙华文化广场店）,龙华区东环二路星河ICO中执时代B座写字楼8I、8H、8G、8F（龙华文化广场旁）,0755-23316179/13682335600,https://vfile.meituan.net/440.0/joymerchant/-7027934274238578741-38313387-1524764687403.jpg
美哈口腔（七里香榭分院）,龙华区民塘路562号七里香榭41号铺（沃尔玛对面）,0755-32905790,https://p0.meituan.net/440.0/joymerchant/-271826473689680050-856393-1545296901110.jpg
慈铭体检（龙华分院）,龙华区致远中路深圳北站西广场深圳通大厦5F,400-880-0001,https://p0.meituan.net/440.0/deal/449b23a74e2ececd05f8840c48448960399875.jpg
亲和齿科（壹方天地店）,龙华区龙华人民路壹方天地A区B1层B1-030号商铺（麦当劳下面）,0755-21013623,https://p1.meituan.net/440.0/joymerchant/5919233591764443915-43975725-1543123719464.jpg
欧阳玉霞口腔诊所,龙华区梅龙路风和日丽699号铺（锦绣江南人人乐对面）,0755-23771097,https://p1.meituan.net/440.0/dpdeal/320fc55f7374e5708a5d3b605e0ef4d7182174.jpg
馨悦齿科,龙华区人民南路中央原著御珑苑62铺（中央原著公交车站台后，九方购物中心斜对面）,0755-28180011/15712123931,https://p0.meituan.net/440.0/joymerchant/-6688689127764942812-23417878-1538984401922.jpg
远大齿科,龙华区龙华办事处清华东路与大和路交叉口，清湖老村站台对面花半里小区6栋A26-A27一楼商铺,15919735409,https://vfile.meituan.net/440.0/joymerchant/515769009131494793-2012019-1526977522109.jpg
利荣口腔,龙华区梅坂大道116号,0755-28188895/13670143982,https://p1.meituan.net/440.0/deal/__50137255__4939603.jpg
天一口腔（白石龙店）,龙华区民塘路白石龙地铁c出口（万科金域华府2期14号铺）,0755-85280919,https://p1.meituan.net/440.0/joymerchant/-6055139258533091438-50760406-1545721194820.jpg
博济口腔,龙华区民塘路南源新村127栋一，二层（七天连锁酒店北站店旁）,0755-21031009,https://vfile.meituan.net/440.0/joymerchant/1611213226680584148-40417599-1534411586931.jpg
同步齿科（龙华店）,龙华区梅龙路世纪春城四期2号一层32商铺,0755-85263582,https://p1.meituan.net/440.0/joymerchant/50103c278634f0f8daa10b954201b07a-1477794613.jpg
深圳康贝儿童医院·口腔中心（龙华店）,龙华区景龙建设路与工业路交叉口西80米（近上塘商业大厦，龙华地铁站D出口西南600米）,15302770386,https://p1.meituan.net/440.0/joymerchant/-3306550585284461047-21951141-1540968651402.jpg
分享口腔（上早分店）,龙华区工业西路246号101、201、301、401（上早村高峰学校旁）,19924566842,https://p0.meituan.net/440.0/joymerchant/3769836115848518444-41730198-1545714527756.jpg
康达体检中心,龙华区民治街道下芬村18号,null,https://p0.meituan.net/440.0/ugcpic/9604b9c54ed7cae610b39a34b36dce41801628.png
王胜建口腔诊所,龙华区求知二路招商观园1833号,13823108455/13929339952,https://p1.meituan.net/440.0/merchantpic/e265b9ae95c73bbe8eb1f0f22e724c3e856094.jpg
拜尔齿科（民治店）,龙华区龙华新区民治大道660号（牛栏前大厦楼下）,0755-29999066,https://vfile.meituan.net/440.0/joymerchant/4230174304015512712-38132123-1525846063728.jpg
格伦菲尔口腔（民治水榭春天店）,龙华区民治办事处水榭春天花园五期5栋25号（民新派出所对面）,0755-33161526,https://p0.meituan.net/440.0/ugcpic/4b74f4abfe5927a5147f947161ff5606
启飞齿科连锁（观澜店）,龙华区观澜大道416号（兴万达广场斜对面）,0755-29577326,https://p1.meituan.net/440.0/joymerchant/3e328238de4d423b9c0299d5a5ed0061-276551686.jpg
厚德医院口腔中心,龙华区龙华新区大浪南路英泰工业区1号厚德医院体检科,null,https://p1.meituan.net/440.0/joymerchant/8987188191911744021-23349953-1545470498639.jpg
志灵齿科连锁,龙华区民治街道牛栏前工业区A区8号（万众城步行街）,0755-29829633/13691858633,https://p0.meituan.net/440.0/joymerchant/1c5bf3d252c5a267a44eab5bd73b4e17-1353076719.jpg
健一齿科·王运龙口腔诊所,龙华区龙华人民路丰润花园9栋103,0755-21058474/13480184764,https://p1.meituan.net/440.0/poi/c64c537bdb59fa0213fbaed1cb4a34c181920.jpg
雪冰口腔诊所,龙华区民治布龙公路北侧华美丽苑8栋16-17商铺（12.7陈设艺术产业园和万众家居城的斜对面油松路和布龙公路的交叉路口）,0755-89620011/13510905000,https://p1.meituan.net/440.0/mogu/3515a7e718c853e159997de8a20b3bc7254315.jpg
正夫口腔（龙华店）,龙华区梅龙大道锦绣江南4期1053-1056号（人人乐超市旁边）,0755-29076866,https://vfile.meituan.net/440.0/joymerchant/-6894499543612848769-5450870-1517888725099.jpg
同进口腔,龙华区民福路世纪春城二期15栋08商铺,0755-28069881/15915331989,https://p0.meituan.net/440.0/dpdeal/bc62691294ac8b4e0aeb550811213f0b60594.jpg
美哈口腔（锦绣江南分院）,龙华区梅龙大道锦绣江南2期1141号（民治二小站台旁，梅林关方向）,0755-81789098,https://p0.meituan.net/440.0/joymerchant/-271826473689680050-856393-1545296901110.jpg
亲和齿科（龙华九方店）,龙华区人民路2020号龙华九方购物中心B1层,0755-28777123,https://p1.meituan.net/440.0/merchantpic/3a8ea5919efe6aaa25330700119e32ec590257.jpg
拜尔齿科（龙华店）,龙华区宝华路东173号,0755-29999066,https://vfile.meituan.net/440.0/joymerchant/-2437363117868768730-23302617-1534413566652.jpg
圣浩齿科·华悦口腔门诊部,龙华区华荣路国安居科技大厦24-27号（桃园宾馆斜对面）,13554733872,https://p0.meituan.net/440.0/joymerchant/5221405725627017229-21951141-1545190892376.jpg
悦美齿科,龙华区民治办事处世纪春城四期3栋40号铺,0755-83839678,https://p1.meituan.net/440.0/mogu/f22d7ff9dec8f2022f592ac3e239574b120924.jpg
健康服务,坪山区,全部
俊彬口腔,坪山区和平路31号,15118035750,https://p1.meituan.net/440.0/dpdeal/38c93b8af49297fc6ceff01f1a97a93a174723.jpg
澳子头社康中心牙科,坪山区龙勤路4号,13613032632,https://p0.meituan.net/440.0/dpdeal/fae78d4a77b54eb3d9d35bfe6c517c674080978.jpg
博瑞口腔门诊部,坪山区坪山街道坪山大道2002号力高君御花园5栋66-67号铺,0755-89336638/13332907465,https://p1.meituan.net/440.0/joymerchant/d967ef183706c5420df94a8c9653bf3c-988508245.jpg
龙湾社康中心牙科（坪山店）,坪山区龙弯路37号（龙湾社康中心2楼）,13923776533,https://p0.meituan.net/440.0/mogu/59bc662314f846478703c13ef9cf4d3a689136.jpg
深圳美因医学检验实验室,坪山区海科兴产业园B栋7楼02区,0755-28412546,https://p1.meituan.net/440.0/mogu/847c746a2c31fe885e450157d0638baa262322.jpg
圣浩齿科·慧智口腔,坪山区马峦街道坪环牛角龙京基御景印象家园1栋143,18138294286/15919739827,https://p0.meituan.net/440.0/merchantpic/f983bad60803b3f99a722644dcd9cec7494492.jpg
李新口腔诊所,坪山区坪山街道人民街59号（东江纵队纪念馆大门旁）,13410647137,https://p1.meituan.net/440.0/mogu/c1b342e2f6d56743b09356e7a4a602a6269381.jpg
服饰鞋包,福田区,全部
泰笛洗衣店（福田店）,福田区景田北小区34栋108,13510943919,https://p1.meituan.net/440.0/joymerchant/7387928939485256943-49038362-1544511823792.jpg
衣卫士干洗（福田区1店）,福田区福华四路辛诚花园首层20号店铺,0755-36654811,https://p0.meituan.net/440.0/joymerchant/-7182162513775356135-1693663-1544149519278.jpg
閃衣clean干洗专家（香梅店）,福田区缇香名苑12号商铺,15989898703,https://p1.meituan.net/440.0/mogu/04fc58be49da827f0caf2c5d857a565c254115.jpg
美家皮具护理,福田区福田区百花五路22号长城大厦16栋一层（深圳实验中学初中部）,0755-83223300/13602573020,https://p0.meituan.net/440.0/merchantpic/53da8e928d9b5ea7f0048acce37c69e0663298.jpg
快洗到家家电清洗（福田店）,福田区回雁路景鹏大厦1栋商铺,13724282393,https://p1.meituan.net/440.0/merchantpic/8823f758533b5b63ac846b9dea604ca2130775.jpg
唯匠·奢侈品养护（车公庙运营中心）,福田区都市阳光名苑3栋21D,13827451156,https://p1.meituan.net/440.0/joymerchant/cf0a921932a3b788b51d82b7d7dbf73b-1420239573.jpg
姿净洗衣（中海华庭店）,福田区民田路89,400-834-0089,https://p1.meituan.net/440.0/joymerchant/950be00cfe19eb38b3f95cff764b0c16--1197251705.jpg
沁美皮具护理,福田区石厦北一街阳光四季花园1-2栋110铺（福田石厦学校旁边）,13714474554/13714480085,https://vfile.meituan.net/440.0/joymerchant/-2274400389200273031-26863829-1520400735952.jpg
翰诺皮具护理店,福田区新洲三街祥云天都世纪C座一楼115铺（维也纳酒店对面，苏宁电器后面）,0755-82548850/13602673908,https://vfile.meituan.net/440.0/joymerchant/-6932924255450200863-1148449-1530959458090.jpg
姿净洗衣（熙园店）,福田区香蜜湖路（熙园）,400-834-0089,https://p0.meituan.net/440.0/joymerchant/950be00cfe19eb38b3f95cff764b0c16--1430699577.jpg
姿净洗衣（梅林一村店）,福田区梅林路148号,400-834-0089,https://p1.meituan.net/440.0/joymerchant/950be00cfe19eb38b3f95cff764b0c16-1360241585.jpg
姿净洗衣（百花园二期店）,福田区百花一路2号,400-834-0089,https://p1.meituan.net/440.0/joymerchant/950be00cfe19eb38b3f95cff764b0c16-1853483621.jpg
唯匠·奢侈品养护（福田店）,福田区金田路1009号嘉意台裙楼趣坊商业广场1层113铺（麦当劳旁边福民地铁D出口直行600米）,13824376595,https://vfile.meituan.net/440.0/joymerchant/-775449311446724033-29259359-1530444001823.jpg
衣卫士干洗（中航路店）,福田区中航路国利大厦1D119,0755-36654811,https://p1.meituan.net/440.0/mogu/c479d42548708ae75741674747bbce5066195.jpg
衣卫士干洗（福田区3店）,福田区深南中路2038号爱华大厦后一楼,0755-36654811,https://p0.meituan.net/440.0/joymerchant/-3099026708598542730-1693663-1500444924734.jpg
衣卫士干洗（商报路店）,福田区商报路景田翠景园1栋1楼,0755-36654811,https://p1.meituan.net/440.0/mogu/c479d42548708ae75741674747bbce5066195.jpg
衣卫士干洗（八卦三路店）,福田区八卦三路428栋西侧1楼103（交通银行侧面）,0755-36654811,https://p1.meituan.net/440.0/mogu/c479d42548708ae75741674747bbce5066195.jpg
衣卫士干洗（福田区2店）,福田区华强南路2002号南华花园裙楼编号1F-42-01,0755-36654811,https://p0.meituan.net/440.0/joymerchant/-3099026708598542730-1693663-1500444924734.jpg
衣卫士干洗（科技园店）,福田区华强北赛格科技园2栋西1楼（老碗烩餐厅旁边）,0755-36654811,https://p1.meituan.net/440.0/mogu/c479d42548708ae75741674747bbce5066195.jpg
衣卫士干洗（振兴路店）,福田区振兴路18号康体大厦一楼,0755-36654811,https://p1.meituan.net/440.0/mogu/c479d42548708ae75741674747bbce5066195.jpg
服饰鞋包,罗湖区,全部
泰笛洗衣店（凤凰路店）,罗湖区黄贝街道凤凰路193号海珑华苑裙楼hicity商场,17679258970,https://p1.meituan.net/440.0/joymerchant/4178278588204403599-49038362-1544511990130.jpg
唯匠·奢侈品养护（罗湖运营中心）,罗湖区嘉宾路2008号彭年广场东佳大厦2901（地铁国贸站B出口前行50米）,13922817013,https://p1.meituan.net/440.0/joymerchant/8586540564772894229-29259359-1541243425578.jpg
衣卫士干洗（罗湖区1店）,罗湖区解放路红围一街9-10号,0755-36654811,https://p0.meituan.net/440.0/joymerchant/-7182162513775356135-1693663-1544149519278.jpg
快洗到家家电清洗（罗湖店）,罗湖区笋岗东路同乐大厦102号,13724282393/18688823783,https://p0.meituan.net/440.0/merchantpic/d45844dbbdb8e441e0257e2315ccd4e6129222.jpg
易改衣etailor全国连锁（罗湖KKmall店）,罗湖区深南东路5016号京基100大厦负一层B127C（商户眼睛大师旁）,0755-22650754/400-800-5103,https://p0.meituan.net/440.0/joymerchant/7186928495563114736-3611131-1543989757136.jpg
姿净洗衣（盛世嘉创中心店）,罗湖区建设路1076,400-834-0089,https://p0.meituan.net/440.0/joymerchant/950be00cfe19eb38b3f95cff764b0c16-1791927086.jpg
革新舍奢侈品护理（万象城店）,罗湖区宝安南路1881号万象城一期3层N315（万象城会员中心对面）,0755-86359453,https://vfile.meituan.net/440.0/joymerchant/-7049968989392234368-38840428-1525958911855.jpg
金碧皮具护理中心（万象城旗舰店）,罗湖区深南东路5015号金丰城大厦裙楼105B号铺（华润万象城旁）,18565656608,https://p0.meituan.net/440.0/dpdeal/c37ac2bb2f0a91226ae773d11d0cbe5c367455.jpg
姿净洗衣（红岗花园店）,罗湖区泥岗东路（红岗花园）,400-834-0089,https://p1.meituan.net/440.0/joymerchant/950be00cfe19eb38b3f95cff764b0c16-880612949.jpg
姿净洗衣（文华大厦店）,罗湖区深南东路1027号,400-834-0089,https://p0.meituan.net/440.0/joymerchant/950be00cfe19eb38b3f95cff764b0c16-1791785879.jpg
姿净洗衣（金枫花园店）,罗湖区罗芳路,400-834-0089,https://p1.meituan.net/440.0/joymerchant/950be00cfe19eb38b3f95cff764b0c16--292193644.jpg
姿净洗衣（金湖大厦店）,罗湖区金碧路46号,400-834-0089,https://p0.meituan.net/440.0/joymerchant/950be00cfe19eb38b3f95cff764b0c16--367975497.jpg
衣卫士干洗（文锦北路二店）,罗湖区文锦北路1049-1号源兴居（田贝建材市场旁）,0755-36654811,https://p1.meituan.net/440.0/mogu/c479d42548708ae75741674747bbce5066195.jpg
衣卫士干洗（金稻田路店）,罗湖区金稻田路理想家园1栋117号,0755-36654811,https://p1.meituan.net/440.0/mogu/c479d42548708ae75741674747bbce5066195.jpg
泰笛洗衣店（地王大厦店）,罗湖区解放路红围一街8号,17679258970,https://p0.meituan.net/440.0/joymerchant/1529369709324076028-49038362-1545200559849.jpg
姿净洗衣（红裙楼小区店）,罗湖区桂园路141号,400-834-0089,https://p0.meituan.net/440.0/joymerchant/950be00cfe19eb38b3f95cff764b0c16--58917627.jpg
服饰鞋包,南山区,全部
