订单ID,团长ID,订单日期,订单金额,参团人数,商品分类,团长返现金额
321513587,100476,2018/1/18,246,9,家用-个人护理,21.3
321513588,100765,2018/1/19,920,10,零食-方便食品,56
321513589,100903,2018/1/19,1447,6,生鲜-水产,78.35
321513590,100811,2018/1/19,1578,4,生鲜-水果,82.9
321513591,100664,2018/1/19,1061,11,生鲜-水产,64.05
321513592,100745,2018/1/19,536,8,生鲜-水产,34.8
321513593,100582,2018/1/19,1048,15,家用-日化用品,67.4
321513594,100883,2018/1/19,622,12,零食-方便食品,43.1
321513595,100561,2018/1/19,1285,7,零食-膨化食品,71.25
321513596,100722,2018/1/19,703,9,家用-清洁用品,44.15
321513597,100620,2018/1/19,1145,15,家用-个人护理,72.25
321513598,100718,2018/1/19,898,14,生鲜-蔬菜,58.9
321513599,100586,2018/1/19,1279,11,家用-日化用品,74.95
321513600,100673,2018/1/19,956,4,零食-坚果,51.8
321513601,100548,2018/1/19,971,12,家用-清洁用品,60.55
321513602,100651,2018/1/19,836,11,生鲜-蔬菜,52.8
321513603,100970,2018/1/19,1089,5,生鲜-水产,59.45
321513604,100447,2018/1/19,1117,9,生鲜-水果,64.85
321513605,101006,2018/1/19,526,5,零食-坚果,31.3
321513606,100827,2018/1/19,1263,10,生鲜-水产,73.15
321513607,100894,2018/1/19,1047,15,零食-饮料,67.35
321513608,100909,2018/1/19,1265,1,家用-清洁用品,64.25
321513609,100431,2018/1/19,908,13,家用-清洁用品,58.4
321513610,100462,2018/1/19,691,6,生鲜-水产,40.55
321513611,100358,2018/1/19,1045,16,家用-个人护理,68.25
321513612,100976,2018/1/19,594,16,零食-膨化食品,45.7
321513613,100852,2018/1/19,941,18,生鲜-水产,65.05
321513614,100490,2018/1/19,724,6,零食-方便食品,42.2
321513615,100375,2018/1/19,397,13,生鲜-禽肉,32.85
321513616,100469,2018/1/19,1505,12,零食-膨化食品,87.25
321513617,100867,2018/1/19,1716,14,零食-饮料,99.8
321513618,100633,2018/1/19,927,7,家用-个人护理,53.35
321513619,100648,2018/1/19,922,7,零食-饮料,53.1
321513620,100637,2018/1/19,1286,20,零食-膨化食品,84.3
321513621,100799,2018/1/19,1497,13,家用-个人护理,87.85
321513622,100860,2018/1/19,638,12,家用-个人护理,43.9
321513623,100417,2018/1/19,808,13,家用-个人护理,53.4
321513624,100855,2018/1/19,1267,4,零食-膨化食品,67.35
321513625,100525,2018/1/19,926,12,家用-清洁用品,58.3
321513626,100894,2018/1/19,1345,12,家用-个人护理,79.25
321513627,100500,2018/1/19,770,4,生鲜-水果,42.5
321513628,100558,2018/1/19,743,4,生鲜-水果,41.15
321513629,100479,2018/1/19,1035,10,生鲜-水产,61.75
321513630,100596,2018/1/19,957,4,家用-个人护理,51.85
321513631,100947,2018/1/19,1130,11,零食-膨化食品,67.5
321513632,100827,2018/1/19,1202,11,生鲜-水果,71.1
321513633,100807,2018/1/19,1219,11,家用-个人护理,71.95
321513634,100421,2018/1/19,1258,19,生鲜-水产,81.9
321513635,100666,2018/1/19,1166,13,零食-坚果,71.3
321513636,100826,2018/1/19,878,17,生鲜-水产,60.9
321513637,100772,2018/1/19,1937,10,家用-清洁用品,106.85
321513638,100946,2018/1/19,769,11,零食-坚果,49.45
321513639,100763,2018/1/19,942,15,生鲜-禽肉,62.1
321513640,101000,2018/1/19,769,3,零食-膨化食品,41.45
321513641,100859,2018/1/19,1292,11,零食-坚果,75.6
321513642,100906,2018/1/19,1252,14,零食-饮料,76.6
321513643,100630,2018/1/19,1290,11,生鲜-水产,75.5
321513644,100965,2018/1/19,975,11,生鲜-禽肉,59.75
321513645,100881,2018/1/19,1227,11,零食-方便食品,72.35
321513646,100665,2018/1/19,763,8,零食-饮料,46.15
321513647,100849,2018/1/19,826,5,生鲜-水产,46.3
321513648,100354,2018/1/19,1591,11,生鲜-禽肉,90.55
321513649,100632,2018/1/19,1439,2,零食-膨化食品,73.95
321513650,100452,2018/1/19,1484,12,零食-方便食品,86.2
321513651,100806,2018/1/19,946,19,家用-日化用品,66.3
321513652,100603,2018/1/19,1439,14,生鲜-水产,85.95
321513653,100682,2018/1/19,1437,11,生鲜-蔬菜,82.85
321513654,100485,2018/1/19,812,15,生鲜-水产,55.6
321513655,101004,2018/1/19,1378,10,生鲜-水产,78.9
321513656,100837,2018/1/19,1012,10,生鲜-禽肉,60.6
321513657,100705,2018/1/19,581,7,生鲜-蔬菜,36.05
321513658,100562,2018/1/19,1195,16,零食-膨化食品,75.75
321513659,100681,2018/1/20,1121,8,零食-膨化食品,64.05
321513660,100426,2018/1/20,1328,8,零食-方便食品,74.4
321513661,100604,2018/1/20,1051,4,零食-坚果,56.55
321513662,100918,2018/1/20,946,17,家用-日化用品,64.3
321513663,100889,2018/1/20,1128,23,家用-日化用品,79.4
321513664,100852,2018/1/20,926,7,生鲜-水产,53.3
321513665,100874,2018/1/20,1254,6,生鲜-蔬菜,68.7
321513666,101002,2018/1/20,972,14,零食-膨化食品,62.6
321513667,100609,2018/1/20,1082,13,生鲜-蔬菜,67.1
321513668,100650,2018/1/20,845,18,生鲜-蔬菜,60.25
321513669,100909,2018/1/20,136,8,生鲜-水果,14.8
321513670,100981,2018/1/20,1128,14,家用-个人护理,70.4
321513671,100825,2018/1/20,783,14,生鲜-水产,53.15
321513672,100634,2018/1/20,997,9,生鲜-禽肉,58.85
321513673,100874,2018/1/20,1222,12,零食-膨化食品,73.1
321513674,100996,2018/1/20,490,22,家用-个人护理,46.5
321513675,100937,2018/1/20,960,4,家用-个人护理,52
321513676,100757,2018/1/20,972,10,生鲜-水产,58.6
321513677,100563,2018/1/20,801,1,零食-饮料,41.05
321513678,100830,2018/1/20,1075,16,家用-清洁用品,69.75
321513679,100886,2018/1/20,614,14,生鲜-水果,44.7
321513680,100876,2018/1/20,955,6,零食-坚果,53.75
321513681,100369,2018/1/20,1477,1,零食-膨化食品,74.85
321513682,100459,2018/1/20,1027,9,生鲜-水果,60.35
321513683,100858,2018/1/20,1279,5,生鲜-水产,68.95
321513684,100686,2018/1/20,876,10,生鲜-水果,53.8
321513685,100373,2018/1/20,1198,6,生鲜-蔬菜,65.9
321513686,100671,2018/1/20,893,11,零食-膨化食品,55.65
321513687,100692,2018/1/20,638,10,生鲜-水产,41.9
321513688,100892,2018/1/20,913,15,零食-方便食品,60.65
321513689,100547,2018/1/20,783,9,零食-坚果,48.15
321513690,100667,2018/1/20,1259,16,零食-方便食品,78.95
321513691,100398,2018/1/20,1156,8,零食-坚果,65.8
321513692,100462,2018/1/20,552,10,生鲜-水果,37.6
321513693,101003,2018/1/20,1285,8,生鲜-水产,72.25
321513694,100851,2018/1/20,511,10,零食-饮料,35.55
321513695,100512,2018/1/20,1207,5,零食-饮料,65.35
321513696,100795,2018/1/20,523,8,生鲜-水果,34.15
321513697,100668,2018/1/20,1333,15,生鲜-禽肉,81.65
321513698,100671,2018/1/20,1355,5,生鲜-水产,72.75
321513699,100500,2018/1/20,792,16,生鲜-水果,55.6
321513700,100573,2018/1/20,1568,8,零食-饮料,86.4
321513701,100396,2018/1/20,1253,2,家用-清洁用品,64.65
321513702,100718,2018/1/20,652,22,零食-膨化食品,54.6
321513703,100475,2018/1/20,767,18,生鲜-水果,56.35
321513704,100497,2018/1/20,562,3,生鲜-水果,31.1
321513705,100991,2018/1/20,1481,4,零食-坚果,78.05
321513706,100945,2018/1/20,588,18,生鲜-禽肉,47.4
321513707,100618,2018/1/20,860,13,零食-方便食品,56
321513708,100656,2018/1/20,1211,2,生鲜-水产,62.55
321513709,100605,2018/1/21,868,2,生鲜-禽肉,45.4
321513710,100715,2018/1/21,952,13,零食-坚果,60.6
321513711,100544,2018/1/21,1015,8,生鲜-水产,58.75
321513712,100609,2018/1/21,1009,17,生鲜-禽肉,67.45
321513713,100635,2018/1/21,1017,2,生鲜-蔬菜,52.85
321513714,100370,2018/1/21,1565,10,生鲜-水产,88.25
321513715,100674,2018/1/21,1229,7,生鲜-水产,68.45
321513716,100481,2018/1/21,550,16,零食-饮料,43.5
321513717,100756,2018/1/21,887,17,生鲜-水果,61.35
321513718,100571,2018/1/21,1039,3,零食-方便食品,54.95
321513719,100878,2018/1/21,1375,1,零食-方便食品,69.75
321513720,100955,2018/1/21,990,6,家用-清洁用品,55.5
321513721,100781,2018/1/21,1102,20,零食-坚果,75.1
321513722,100930,2018/1/21,1318,11,生鲜-蔬菜,76.9
321513723,100409,2018/1/21,997,14,生鲜-水产,63.85
321513724,100368,2018/1/21,1126,5,零食-坚果,61.3
321513725,100400,2018/1/21,773,7,家用-日化用品,45.65
321513726,100674,2018/1/21,1024,7,生鲜-蔬菜,58.2
321513727,100928,2018/1/21,1199,4,生鲜-水果,63.95
321513728,100575,2018/1/21,1244,10,生鲜-蔬菜,72.2
321513729,100868,2018/1/21,1405,13,家用-清洁用品,83.25
321513730,100953,2018/1/21,715,12,生鲜-蔬菜,47.75
321513731,100678,2018/1/21,641,17,零食-膨化食品,49.05
321513732,100675,2018/1/21,1293,15,生鲜-水产,79.65
321513733,100731,2018/1/21,1221,5,零食-饮料,66.05
321513734,100897,2018/1/21,1375,10,家用-日化用品,78.75
321513735,100874,2018/1/21,531,13,生鲜-水产,39.55
321513736,100669,2018/1/21,769,5,生鲜-水果,43.45
321513737,100587,2018/1/21,1223,10,生鲜-水产,71.15
321513738,100538,2018/1/21,956,5,生鲜-水产,52.8
321513739,100468,2018/1/21,537,8,家用-日化用品,34.85
321513740,100467,2018/1/21,1087,11,零食-方便食品,65.35
321513741,100931,2018/1/21,1050,12,零食-膨化食品,64.5
321513742,100593,2018/1/21,732,6,家用-清洁用品,42.6
321513743,100805,2018/1/21,781,15,家用-个人护理,54.05
321513744,100690,2018/1/21,1251,5,生鲜-蔬菜,67.55
321513745,100428,2018/1/21,1261,11,家用-日化用品,74.05
321513746,100889,2018/1/21,1352,12,零食-坚果,79.6
321513747,100363,2018/1/21,1235,12,家用-清洁用品,73.75
321513748,100701,2018/1/21,735,12,生鲜-蔬菜,48.75
321513749,100827,2018/1/21,1400,11,生鲜-水产,81
321513750,100755,2018/1/21,770,6,生鲜-水果,44.5
321513751,100936,2018/1/21,1181,13,零食-坚果,72.05
321513752,100814,2018/1/21,1301,8,生鲜-水产,73.05
321513753,100797,2018/1/21,949,5,零食-方便食品,52.45
321513754,100795,2018/1/21,1009,10,生鲜-水产,60.45
321513755,100411,2018/1/21,853,8,生鲜-蔬菜,50.65
321513756,100754,2018/1/21,1208,3,生鲜-水产,63.4
321513757,100654,2018/1/21,742,3,生鲜-水产,40.1
321513758,100354,2018/1/21,1402,9,零食-坚果,79.1
321513759,100848,2018/1/21,1320,16,生鲜-蔬菜,82
321513760,100683,2018/1/21,1187,12,零食-方便食品,71.35
321513761,101006,2018/1/21,1443,7,零食-坚果,79.15
321513762,100555,2018/1/21,1408,1,生鲜-水果,71.4
321513763,100692,2018/1/21,891,1,生鲜-蔬菜,45.55
321513764,100586,2018/1/21,897,14,家用-清洁用品,58.85
321513765,100793,2018/1/21,624,17,家用-个人护理,48.2
321513766,100917,2018/1/21,957,9,零食-饮料,56.85
321513767,100764,2018/1/21,969,3,生鲜-禽肉,51.45
321513768,100471,2018/1/21,1090,13,生鲜-水果,67.5
321513769,100418,2018/1/21,1224,10,家用-清洁用品,71.2
321513770,100526,2018/1/21,824,11,生鲜-蔬菜,52.2
321513771,100956,2018/1/21,902,14,零食-膨化食品,59.1
321513772,100950,2018/1/21,1232,11,零食-饮料,72.6
321513773,100465,2018/1/21,1268,8,零食-膨化食品,71.4
321513774,100427,2018/1/21,415,16,零食-膨化食品,36.75
321513775,100403,2018/1/22,640,13,家用-日化用品,45
321513776,100799,2018/1/22,727,4,生鲜-禽肉,40.35
321513777,100366,2018/1/22,1371,8,生鲜-蔬菜,76.55
321513778,100996,2018/1/22,950,9,零食-膨化食品,56.5
321513779,100676,2018/1/22,1055,5,家用-日化用品,57.75
321513780,100873,2018/1/22,661,12,零食-方便食品,45.05
321513781,100882,2018/1/22,888,12,生鲜-蔬菜,56.4
321513782,100496,2018/1/22,1159,14,零食-方便食品,71.95
321513783,100515,2018/1/22,586,7,生鲜-水产,36.3
321513784,100715,2018/1/22,1406,4,零食-饮料,74.3
321513785,100606,2018/1/22,233,7,家用-日化用品,18.65
321513786,100705,2018/1/22,1139,7,零食-方便食品,63.95
321513787,100559,2018/1/22,1018,7,生鲜-禽肉,57.9
321513788,100480,2018/1/22,1208,14,生鲜-水果,74.4
321513789,100470,2018/1/22,463,15,生鲜-水产,38.15
321513790,100683,2018/1/22,920,10,生鲜-水产,56
321513791,100951,2018/1/22,780,7,家用-日化用品,46
321513792,100951,2018/1/22,1035,15,生鲜-水产,66.75
321513793,100710,2018/1/22,785,7,生鲜-蔬菜,46.25
321513794,100697,2018/1/22,1652,2,生鲜-禽肉,84.6
321513795,100731,2018/1/22,1464,2,零食-坚果,75.2
321513796,100482,2018/1/22,1333,9,生鲜-水产,75.65
321513797,100852,2018/1/22,1007,10,零食-坚果,60.35
321513798,100455,2018/1/22,849,7,生鲜-水果,49.45
321513799,100981,2018/1/22,1214,14,生鲜-水果,74.7
321513800,100584,2018/1/22,1766,9,零食-方便食品,97.3
321513801,100550,2018/1/22,1218,4,生鲜-禽肉,64.9
321513802,100461,2018/1/22,1063,10,生鲜-水果,63.15
321513803,100484,2018/1/22,973,5,家用-个人护理,53.65
321513804,100991,2018/1/22,1093,15,生鲜-水产,69.65
321513805,100545,2018/1/22,565,15,生鲜-水果,43.25
321513806,100415,2018/1/22,935,8,零食-方便食品,54.75
321513807,100916,2018/1/22,1232,11,零食-方便食品,72.6
321513808,100434,2018/1/22,727,1,生鲜-水果,37.35
321513809,100770,2018/1/22,1260,9,零食-坚果,72
321513810,100686,2018/1/22,776,3,家用-日化用品,41.8
321513811,100611,2018/1/22,1083,14,生鲜-禽肉,68.15
321513812,100936,2018/1/22,832,5,生鲜-水产,46.6
321513813,100955,2018/1/22,774,20,生鲜-禽肉,58.7
321513814,100713,2018/1/22,181,9,家用-清洁用品,18.05
321513815,100374,2018/1/22,1238,5,生鲜-蔬菜,66.9
321513816,100379,2018/1/22,939,5,家用-清洁用品,51.95
321513817,100636,2018/1/22,640,2,生鲜-禽肉,34
321513818,100376,2018/1/22,753,7,生鲜-水产,44.65
321513819,100884,2018/1/22,692,12,家用-日化用品,46.6
321513820,100972,2018/1/22,1713,8,生鲜-蔬菜,93.65
321513821,100999,2018/1/22,874,15,生鲜-水果,58.7
321513822,100938,2018/1/22,371,22,家用-日化用品,40.55
321513823,100980,2018/1/22,1101,12,零食-方便食品,67.05
321513824,100629,2018/1/22,661,5,家用-个人护理,38.05
321513825,100738,2018/1/22,1058,2,生鲜-蔬菜,54.9
321513826,100577,2018/1/22,739,15,生鲜-水产,51.95
321513827,100566,2018/1/22,1035,13,家用-清洁用品,64.75
321513828,100430,2018/1/22,999,15,家用-日化用品,64.95
321513829,100938,2018/1/22,1173,6,家用-个人护理,64.65
321513830,100765,2018/1/22,1042,1,零食-膨化食品,53.1
321513831,100414,2018/1/22,1134,1,生鲜-蔬菜,57.7
321513832,100535,2018/1/22,1084,5,零食-方便食品,59.2
321513833,100694,2018/1/22,1124,9,家用-个人护理,65.2
321513834,100580,2018/1/22,749,16,家用-个人护理,53.45
321513835,100353,2018/1/22,1168,4,零食-坚果,62.4
321513836,100398,2018/1/22,819,19,生鲜-水产,59.95
321513837,100991,2018/1/22,1051,15,生鲜-蔬菜,67.55
321513838,100551,2018/1/22,1254,9,生鲜-水产,71.7
321513839,100635,2018/1/23,1050,15,零食-饮料,67.5
321513840,101001,2018/1/23,1014,11,生鲜-水果,61.7
321513841,100939,2018/1/23,841,7,生鲜-水产,49.05
321513842,100658,2018/1/23,712,15,家用-个人护理,50.6
321513843,100410,2018/1/23,602,5,生鲜-水果,35.1
321513844,100415,2018/1/23,939,15,零食-饮料,61.95
321513845,100525,2018/1/23,1356,12,生鲜-禽肉,79.8
321513846,100396,2018/1/23,562,11,生鲜-禽肉,39.1
321513847,100990,2018/1/23,1299,12,家用-日化用品,76.95
321513848,100645,2018/1/23,1076,17,零食-膨化食品,70.8
321513849,100645,2018/1/23,738,14,零食-膨化食品,50.9
321513850,100788,2018/1/23,450,10,家用-日化用品,32.5
321513851,100712,2018/1/23,432,14,家用-日化用品,35.6
321513852,100945,2018/1/23,1175,15,零食-方便食品,73.75
321513853,100381,2018/1/23,1192,8,生鲜-蔬菜,67.6
321513854,100657,2018/1/23,802,14,家用-个人护理,54.1
321513855,100901,2018/1/23,1655,18,生鲜-水果,100.75
321513856,100955,2018/1/23,587,13,零食-方便食品,42.35
321513857,100926,2018/1/23,977,14,零食-膨化食品,62.85
321513858,100586,2018/1/23,930,6,生鲜-水产,52.5
321513859,100600,2018/1/23,1626,1,零食-坚果,82.3
321513860,100663,2018/1/23,872,17,零食-坚果,60.6
321513861,100361,2018/1/23,738,15,零食-坚果,51.9
321513862,100517,2018/1/23,821,16,零食-方便食品,57.05
321513863,100638,2018/1/23,1143,15,生鲜-蔬菜,72.15
321513864,100808,2018/1/23,422,5,家用-清洁用品,26.1
321513865,101006,2018/1/23,1413,7,家用-清洁用品,77.65
321513866,100475,2018/1/23,1251,4,生鲜-蔬菜,66.55
321513867,100600,2018/1/23,1186,13,生鲜-禽肉,72.3
321513868,100528,2018/1/23,998,11,家用-日化用品,60.9
321513869,100685,2018/1/23,857,19,家用-个人护理,61.85
321513870,100787,2018/1/23,928,9,家用-日化用品,55.4
321513871,100861,2018/1/23,1180,6,零食-方便食品,65
321513872,100997,2018/1/23,721,9,生鲜-禽肉,45.05
321513873,100386,2018/1/23,724,10,家用-个人护理,46.2
321513874,100841,2018/1/23,1057,14,生鲜-水果,66.85
321513875,100631,2018/1/23,1263,11,生鲜-水果,74.15
321513876,100769,2018/1/23,951,12,零食-方便食品,59.55
321513877,100409,2018/1/23,1266,11,家用-个人护理,74.3
321513878,100498,2018/1/23,1175,9,家用-日化用品,67.75
321513879,100955,2018/1/23,1100,17,生鲜-水果,72
321513880,100745,2018/1/23,1209,14,零食-膨化食品,74.45
321513881,100474,2018/1/23,951,8,生鲜-蔬菜,55.55
321513882,100823,2018/1/23,1120,3,家用-个人护理,59
321513883,100659,2018/1/23,984,9,生鲜-水果,58.2
321513884,100801,2018/1/23,1108,5,家用-日化用品,60.4
321513885,100431,2018/1/23,573,10,生鲜-禽肉,38.65
321513886,100422,2018/1/23,1298,12,家用-清洁用品,76.9
321513887,100435,2018/1/23,1107,13,家用-个人护理,68.35
321513888,100770,2018/1/23,1407,1,零食-饮料,71.35
321513889,100637,2018/1/23,1165,14,生鲜-水产,72.25
321513890,100930,2018/1/23,1358,5,生鲜-水果,72.9
321513891,100475,2018/1/23,770,14,生鲜-水果,52.5
321513892,100364,2018/1/23,899,15,生鲜-禽肉,59.95
321513893,100632,2018/1/23,956,9,生鲜-水果,56.8
321513894,100944,2018/1/23,761,6,家用-清洁用品,44.05
321513895,100845,2018/1/23,889,9,生鲜-水产,53.45
321513896,100906,2018/1/23,1001,16,零食-坚果,66.05
321513897,100823,2018/1/23,1085,1,零食-膨化食品,55.25
321513898,100639,2018/1/23,740,17,零食-饮料,54
321513899,100507,2018/1/23,1455,9,生鲜-禽肉,81.75
321513900,100709,2018/1/23,1149,5,生鲜-蔬菜,62.45
321513901,100431,2018/1/23,1015,7,生鲜-禽肉,57.75
321513902,101003,2018/1/23,1155,13,家用-个人护理,70.75
321513903,100890,2018/1/23,1274,13,生鲜-禽肉,76.7
321513904,100810,2018/1/23,1270,6,零食-膨化食品,69.5
321513905,100579,2018/1/23,1250,11,家用-日化用品,73.5
321513906,100539,2018/1/23,1000,11,零食-膨化食品,61
321513907,100399,2018/1/23,1066,12,家用-日化用品,65.3
321513908,100612,2018/1/23,372,12,家用-个人护理,30.6
321513909,100896,2018/1/23,561,11,生鲜-蔬菜,39.05
321513910,100450,2018/1/23,1141,19,生鲜-水产,76.05
321513911,100895,2018/1/23,548,6,零食-坚果,33.4
321513912,100461,2018/1/23,1039,12,生鲜-水产,63.95
321513913,100417,2018/1/23,1178,11,生鲜-蔬菜,69.9
321513914,100610,2018/1/23,1152,7,生鲜-水果,64.6
321513915,100855,2018/1/23,1051,9,生鲜-水产,61.55
321513916,100944,2018/1/24,927,6,家用-个人护理,52.35
321513917,100919,2018/1/24,1185,10,家用-日化用品,69.25
321513918,100992,2018/1/24,1053,5,生鲜-水产,57.65
321513919,100565,2018/1/24,819,20,零食-饮料,60.95
321513920,100583,2018/1/24,1182,6,零食-膨化食品,65.1
321513921,100863,2018/1/24,815,15,家用-个人护理,55.75
321513922,100453,2018/1/24,1067,9,家用-清洁用品,62.35
321513923,100560,2018/1/24,613,2,家用-个人护理,32.65
321513924,100857,2018/1/24,891,12,生鲜-水产,56.55
321513925,100756,2018/1/24,798,14,生鲜-水果,53.9
321513926,100928,2018/1/24,1301,10,生鲜-水产,75.05
321513927,100795,2018/1/24,990,16,生鲜-水产,65.5
321513928,100389,2018/1/24,1192,5,家用-日化用品,64.6
321513929,100663,2018/1/24,1335,4,零食-方便食品,70.75
321513930,100656,2018/1/24,982,5,零食-膨化食品,54.1
321513931,100470,2018/1/24,740,12,家用-清洁用品,49
321513932,100642,2018/1/24,1514,9,家用-个人护理,84.7
321513933,100505,2018/1/24,1035,9,生鲜-蔬菜,60.75
321513934,100491,2018/1/24,1086,11,家用-日化用品,65.3
321513935,100805,2018/1/24,1416,12,零食-坚果,82.8
321513936,100806,2018/1/24,1413,9,家用-清洁用品,79.65
321513937,100780,2018/1/24,599,3,生鲜-蔬菜,32.95
321513938,100477,2018/1/24,473,11,生鲜-水产,34.65
321513939,100767,2018/1/24,999,20,生鲜-水果,69.95
321513940,100673,2018/1/24,1462,10,零食-坚果,83.1
321513941,100562,2018/1/24,331,12,生鲜-水产,28.55
321513942,100676,2018/1/24,1065,2,家用-清洁用品,55.25
321513943,100819,2018/1/24,903,10,生鲜-水果,55.15
321513944,100349,2018/1/24,809,3,生鲜-禽肉,43.45
321513945,100761,2018/1/24,1152,4,零食-膨化食品,61.6
321513946,100588,2018/1/24,725,5,家用-清洁用品,41.25
321513947,100844,2018/1/24,806,6,零食-饮料,46.3
321513948,100690,2018/1/24,660,14,生鲜-禽肉,47
321513949,100979,2018/1/24,1098,25,零食-膨化食品,79.9
321513950,100964,2018/1/24,1538,11,生鲜-蔬菜,87.9
321513951,100490,2018/1/24,1022,11,家用-日化用品,62.1
321513952,100479,2018/1/24,1641,1,零食-坚果,83.05
321513953,100497,2018/1/24,502,17,零食-膨化食品,42.1
321513954,100492,2018/1/24,710,17,零食-饮料,52.5
321513955,100892,2018/1/24,987,12,零食-膨化食品,61.35
321513956,100636,2018/1/24,1006,11,生鲜-水产,61.3
321513957,100956,2018/1/24,1414,10,家用-清洁用品,80.7
321513958,100639,2018/1/24,1242,13,零食-方便食品,75.1
321513959,100402,2018/1/24,875,9,零食-膨化食品,52.75
321513960,100943,2018/1/24,857,7,生鲜-水果,49.85
321513961,100881,2018/1/24,1196,2,家用-个人护理,61.8
321513962,100973,2018/1/24,1563,14,零食-饮料,92.15
321513963,100976,2018/1/24,1073,1,家用-个人护理,54.65
321513964,100874,2018/1/24,680,6,生鲜-水果,40
321513965,100749,2018/1/24,1355,12,零食-饮料,79.75
321513966,100564,2018/1/24,1206,1,零食-坚果,61.3
321513967,100696,2018/1/24,668,9,零食-方便食品,42.4
321513968,100584,2018/1/24,640,1,家用-个人护理,33
321513969,100604,2018/1/24,1363,8,零食-膨化食品,76.15
321513970,100721,2018/1/24,744,1,生鲜-禽肉,38.2
321513971,100817,2018/1/24,1591,10,生鲜-禽肉,89.55
321513972,100681,2018/1/24,542,9,零食-坚果,36.1
321513973,100763,2018/1/24,1007,6,零食-方便食品,56.35
321513974,100747,2018/1/24,954,8,家用-清洁用品,55.7
321513975,100516,2018/1/24,879,7,生鲜-水产,50.95
321513976,100904,2018/1/24,1425,14,生鲜-蔬菜,85.25
321513977,100941,2018/1/24,735,20,家用-清洁用品,56.75
321513978,100387,2018/1/24,1208,4,生鲜-蔬菜,64.4
321513979,100995,2018/1/24,1521,8,零食-膨化食品,84.05
321513980,100357,2018/1/24,1247,7,零食-膨化食品,69.35
321513981,100580,2018/1/24,890,11,生鲜-水果,55.5
321513982,100463,2018/1/24,255,12,家用-日化用品,24.75
321513983,100494,2018/1/24,806,5,生鲜-蔬菜,45.3
321513984,100599,2018/1/24,1239,7,家用-个人护理,68.95
321513985,100765,2018/1/24,1262,18,家用-日化用品,81.1
321513986,100789,2018/1/24,1061,3,零食-饮料,56.05
321513987,100974,2018/1/25,841,14,家用-清洁用品,56.05
321513988,100415,2018/1/25,851,29,生鲜-禽肉,71.55
321513989,100899,2018/1/25,591,10,家用-个人护理,39.55
321513990,100954,2018/1/25,388,11,生鲜-水产,30.4
321513991,100476,2018/1/25,976,10,生鲜-水产,58.8
321513992,100741,2018/1/25,651,10,生鲜-水产,42.55
321513993,100798,2018/1/25,647,10,家用-清洁用品,42.35
321513994,100749,2018/1/25,914,10,生鲜-水果,55.7
321513995,100678,2018/1/25,1145,11,零食-饮料,68.25
321513996,100801,2018/1/25,1194,11,零食-坚果,70.7
321513997,100989,2018/1/25,1144,13,生鲜-水产,70.2
321513998,100488,2018/1/25,1424,7,家用-清洁用品,78.2
321513999,100540,2018/1/25,1524,8,家用-个人护理,84.2
321514000,100606,2018/1/25,897,9,零食-方便食品,53.85
321514001,100357,2018/1/25,981,14,家用-清洁用品,63.05
321514002,100619,2018/1/25,820,6,生鲜-水果,47
321514003,100883,2018/1/25,898,5,生鲜-蔬菜,49.9
321514004,100834,2018/1/25,1385,7,家用-日化用品,76.25
321514005,100386,2018/1/25,866,7,生鲜-蔬菜,50.3
321514006,100587,2018/1/25,1248,5,生鲜-水果,67.4
321514007,100740,2018/1/25,778,6,零食-饮料,44.9
321514008,100877,2018/1/25,1297,5,家用-清洁用品,69.85
321514009,100562,2018/1/25,1035,12,家用-日化用品,63.75
321514010,100850,2018/1/25,1008,17,生鲜-水果,67.4
321514011,100998,2018/1/25,1457,4,生鲜-禽肉,76.85
321514012,100376,2018/1/25,1051,16,生鲜-水产,68.55
321514013,100534,2018/1/25,1201,17,生鲜-水产,77.05
321514014,100953,2018/1/25,1095,10,生鲜-水果,64.75
321514015,100992,2018/1/25,1043,15,生鲜-水产,67.15
321514016,100749,2018/1/25,1531,6,生鲜-水产,82.55
321514017,100527,2018/1/25,1270,3,家用-日化用品,66.5
321514018,100893,2018/1/25,802,1,零食-方便食品,41.1
321514019,100430,2018/1/25,1191,17,零食-膨化食品,76.55
321514020,100386,2018/1/25,990,14,家用-清洁用品,63.5
321514021,100604,2018/1/25,1068,4,家用-个人护理,57.4
321514022,100880,2018/1/25,800,13,生鲜-蔬菜,53
321514023,100393,2018/1/25,1216,11,家用-日化用品,71.8
321514024,100354,2018/1/25,818,13,零食-坚果,53.9
321514025,100463,2018/1/25,474,9,家用-清洁用品,32.7
321514026,100756,2018/1/25,1289,16,生鲜-蔬菜,80.45
321514027,100520,2018/1/25,1209,6,生鲜-水产,66.45
321514028,100553,2018/1/25,746,1,生鲜-水果,38.3
321514029,100578,2018/1/25,533,4,零食-坚果,30.65
321514030,100670,2018/1/25,1003,9,生鲜-水产,59.15
321514031,100615,2018/1/25,905,2,生鲜-蔬菜,47.25
321514032,100632,2018/1/25,405,7,家用-清洁用品,27.25
321514033,101004,2018/1/25,1961,13,零食-方便食品,111.05
321514034,100455,2018/1/25,495,4,家用-清洁用品,28.75
321514035,100646,2018/1/25,960,7,家用-个人护理,55
321514036,100392,2018/1/25,630,7,零食-膨化食品,38.5
321514037,100478,2018/1/25,874,10,零食-坚果,53.7
